Year,Import(INR-lacs),Import(USD-millions),Export(INR-lacs),Export(USD-millions),Exchange rate,Trade deficit (INR-lacs),Trade deficit (USD-millions),FC Reserve(INR-lacs),FC Reserve(USD-millions)
1997,13891966,39132,11881797,33470,35.5,2010169,5662,,
1998,15417629,41484,12927770,34785,37.16,2489859,6700,,
1999,17833185,42389,13975316,33219,42.07,3857870,9170,13377400,31586
2000,21552844,49738,15956178,36822,43.33,5596666,12916,16364500,37533
2001,23087276,50536,20357101,44560,45.68,2730175,5976,19707600,42256
2002,24519972,51413,20901797,43827,47.69,3618175,7587,26427600,54154
2003,29720587,61412,25513728,52719,48.4,4206860,8693,35574600,74805
2004,35910766,78149,29336675,63843,45.95,6574092,14307,49367500,110317
2005,50106454,111517,37533953,83536,44.93,12572501,27981,61750700,140907
2006,66040890,149166,45641786,103091,44.27,20399104,46075,67638700,151622
2007,84050631,185735,57177929,126414,45.23,26872703,59321,86822200,199179
2008,101231170,251654,65586352,163132,40.2,35644818,88522,127543800,252326
2009,137443556,303696,84075506,185295,45.37,53368050,118401,125770600,277042
2010,136373555,288373,84553364,178751,47.3,51820190,109621,135622000,303482
2011,168346696,369769,113696426,249816,45.51,54650269,119954,123955800,309161
2012,234546325,489319,146595940,305964,47.91,87950384,183356,150613000,294398
2013,266916196,490737,163431829,300401,54.4,103484367,190336,159006000,292647
2014,271543391,450200,190501109,314405,60.59,81042282,135794,182920000,303674
2015,273708658,448033,189634842,310338,61.11,84073816,137695,213491000,341378
2016,249030554,381008,171638440,262291,65.44,77392113,118717,236901000,355560
2017,257767537,384357,184943355,275852,67.04,72824181,108505,239820000,369955
2018,300103343,465581,195651453,303526,64.46,104451891,162055,275977000,424361
2019,359467461,514078,230772619,330078,69.91,128694842,184000,285394000,411905
