sl,year,statename,lcname,candidate,sex,age,category,party,general,postal,total,overpolled,electors,rank,win,alliance
9,2008,NCT of Delhi,Nerela,JASWANT SINGH,M,55,GEN,INC,34662,0,34662,31.66,187622,1,1,INC
10,2008,NCT of Delhi,Nerela,SHARAD KUMAR,M,33,GEN,BSP,33827,3,33830,30.9,187622,2,0,OTHERS
11,2008,NCT of Delhi,Nerela,AJIT SINGH,M,43,GEN,BJP,29752,2,29754,27.17,187622,3,0,BJP
12,2008,NCT of Delhi,Nerela,RAJ SINGH KHATRI,M,61,GEN,IND,5041,0,5041,4.6,187622,4,0,OTHERS
13,2008,NCT of Delhi,Nerela,AMIT KUMAR,M,26,GEN,LJP,1704,0,1704,1.56,187622,5,0,OTHERS
14,2008,NCT of Delhi,Nerela,KULDEEP,M,31,GEN,RJD,1078,0,1078,0.98,187622,6,0,OTHERS
15,2008,NCT of Delhi,Nerela,RISHA,F,35,SC,IND,925,0,925,0.84,187622,7,0,OTHERS
16,2008,NCT of Delhi,Nerela,SHYAM LAL,M,57,GEN,CPI(ML)(L),882,0,882,0.81,187622,8,0,OTHERS
17,2008,NCT of Delhi,Nerela,HARIOM SHARMA,M,25,GEN,SP,484,0,484,0.44,187622,9,0,OTHERS
18,2008,NCT of Delhi,Nerela,VISHAL,M,52,GEN,RWS,437,0,437,0.4,187622,10,0,OTHERS
19,2008,NCT of Delhi,Nerela,ANIL KUMAR,M,36,GEN,IND,377,0,377,0.34,187622,11,0,OTHERS
20,2008,NCT of Delhi,Nerela,RAGHBIR SINGH,M,65,GEN,IND,320,0,320,0.29,187622,12,0,OTHERS
24,2008,NCT of Delhi,Burari,SHRI KRISHAN,M,51,GEN,BJP,31997,9,32006,30.1,151701,1,1,BJP
25,2008,NCT of Delhi,Burari,DEEPAK TYAGI,M,39,GEN,INC,27011,5,27016,25.4,151701,2,0,INC
26,2008,NCT of Delhi,Burari,VINOD NAGAR,M,43,GEN,LJP,17773,4,17777,16.72,151701,3,0,OTHERS
27,2008,NCT of Delhi,Burari,ANAND MOHAN JOSHI,M,29,GEN,BSP,12752,1,12753,11.99,151701,4,0,OTHERS
28,2008,NCT of Delhi,Burari,RAM KISHORE TYAGI,M,56,GEN,NCP,4694,1,4695,4.41,151701,5,0,OTHERS
29,2008,NCT of Delhi,Burari,MANOJ KUMAR,M,25,GEN,RJD,2583,0,2583,2.43,151701,6,0,OTHERS
30,2008,NCT of Delhi,Burari,INDER SINGH,M,38,GEN,JD(U),1397,0,1397,1.31,152258,7,0,OTHERS
31,2008,NCT of Delhi,Burari,SANDEEP KUMAR,M,25,SC,IND,1020,0,1020,0.96,152258,8,0,OTHERS
32,2008,NCT of Delhi,Burari,DHARMENDER SINGHAL,M,36,GEN,IND,889,0,889,0.84,152258,9,0,OTHERS
33,2008,NCT of Delhi,Burari,GANESH PAL,M,51,GEN,BSKP,771,0,771,0.72,152258,10,0,OTHERS
34,2008,NCT of Delhi,Burari,MUNNA RAWAT,M,40,GEN,IJP,716,0,716,0.67,152258,11,0,OTHERS
35,2008,NCT of Delhi,Burari,KAMLA RANI,F,50,SC,IND,579,0,579,0.54,152258,12,0,OTHERS
36,2008,NCT of Delhi,Burari,SADHNA SHARMA,F,35,GEN,IND,519,0,519,0.49,152258,13,0,OTHERS
37,2008,NCT of Delhi,Burari,BHAGWAN SINGH,M,34,GEN,RWS,441,0,441,0.41,152258,14,0,OTHERS
38,2008,NCT of Delhi,Burari,RAGINI SHARMA,F,36,GEN,IND,437,0,437,0.41,152258,15,0,OTHERS
39,2008,NCT of Delhi,Burari,DEEN DAYAL SINGH,M,37,GEN,ABHM,414,0,414,0.39,152258,16,0,OTHERS
40,2008,NCT of Delhi,Burari,LAL BAHADUR SINGH,M,50,GEN,RMEP,414,0,414,0.39,152258,16,0,OTHERS
41,2008,NCT of Delhi,Burari,BABLI,M,26,GEN,SHS,367,0,367,0.35,152258,18,0,OTHERS
42,2008,NCT of Delhi,Burari,HARI KISHAN,M,41,GEN,NLHP,324,0,324,0.3,152258,19,0,OTHERS
43,2008,NCT of Delhi,Burari,JAI RAM MAURYA,M,36,GEN,IND,318,0,318,0.3,152679,20,0,OTHERS
44,2008,NCT of Delhi,Burari,NAFE SINGH,M,34,GEN,IND,272,0,272,0.26,152679,21,0,OTHERS
45,2008,NCT of Delhi,Burari,SURAJ PAL SINGH,M,40,GEN,SP,266,0,266,0.25,152679,22,0,OTHERS
46,2008,NCT of Delhi,Burari,SHIVJI SHAH,M,39,GEN,IND,221,0,221,0.21,152679,23,0,OTHERS
56,2008,NCT of Delhi,Burari,RAKESH KUMAR,M,28,GEN,IND,151,0,151,0.14,152679,24,0,OTHERS
60,2008,NCT of Delhi,Timarpur,SURINDER PAL SINGH,M,48,GEN,INC,39986,11,39997,44.14,222997,1,1,INC
61,2008,NCT of Delhi,Timarpur,SURYA PRAKASH KHATRI,M,45,GEN,BJP,37570,14,37584,41.48,222997,2,0,BJP
62,2008,NCT of Delhi,Timarpur,SANJEEV KUMAR,M,43,GEN,BSP,9487,4,9491,10.47,222997,3,0,OTHERS
63,2008,NCT of Delhi,Timarpur,APRAMAY MISHRA,M,28,GEN,SP,775,0,775,0.86,222997,4,0,OTHERS
64,2008,NCT of Delhi,Timarpur,SHYAM GOPAL,M,39,GEN,ABHM,706,0,706,0.78,222997,5,0,OTHERS
65,2008,NCT of Delhi,Timarpur,MOHD KAMIL,M,38,GEN,IND,343,0,343,0.38,222997,6,0,OTHERS
66,2008,NCT of Delhi,Timarpur,RAJU GUPTA,M,30,GEN,IND,293,0,293,0.32,222997,7,0,OTHERS
67,2008,NCT of Delhi,Timarpur,RANJIT SINGH,M,41,SC,IND,245,0,245,0.27,245769,8,0,OTHERS
68,2008,NCT of Delhi,Timarpur,MAHFOOZ ALI,M,48,GEN,NCP,240,0,240,0.26,245769,9,0,OTHERS
69,2008,NCT of Delhi,Timarpur,RAJESH KUMAR,M,27,GEN,IND,205,0,205,0.23,245769,10,0,OTHERS
70,2008,NCT of Delhi,Timarpur,MOHD RAZIUR REHMAN,M,46,GEN,LJP,165,0,165,0.18,245769,11,0,OTHERS
71,2008,NCT of Delhi,Timarpur,RAJESH SINGH,M,40,GEN,IND,154,0,154,0.17,245769,12,0,OTHERS
72,2008,NCT of Delhi,Timarpur,KRIPAL SINGH BITTOO,M,39,GEN,IND,132,0,132,0.15,245769,13,0,OTHERS
73,2008,NCT of Delhi,Timarpur,MOHD YAMEEN,M,37,GEN,IND,128,0,128,0.14,245769,14,0,OTHERS
74,2008,NCT of Delhi,Timarpur,DROPTI,F,36,GEN,RVNP,88,0,88,0.1,245769,15,0,OTHERS
75,2008,NCT of Delhi,Timarpur,AJAY SINGH,M,36,GEN,IND,67,0,67,0.07,245769,16,0,OTHERS
79,2008,NCT of Delhi,Adarsh Nagar,MANGAT RAM,M,65,GEN,INC,36438,7,36445,44.84,192851,1,1,INC
80,2008,NCT of Delhi,Adarsh Nagar,RAVINDER SINGH (KHURANA),M,51,GEN,BJP,31913,20,31933,39.29,192851,2,0,BJP
81,2008,NCT of Delhi,Adarsh Nagar,SANJAY NAGPAL,M,39,GEN,BSP,9989,1,9990,12.29,192851,3,0,OTHERS
82,2008,NCT of Delhi,Adarsh Nagar,SUDHIR PATHAK,M,47,GEN,IND,753,0,753,0.93,192851,4,0,OTHERS
83,2008,NCT of Delhi,Adarsh Nagar,RAM SARAN RAM,M,64,GEN,CPI,654,0,654,0.8,192851,5,0,OTHERS
84,2008,NCT of Delhi,Adarsh Nagar,VIJAY SINGH SISODIA,M,52,GEN,LJP,520,0,520,0.64,192851,6,0,OTHERS
85,2008,NCT of Delhi,Adarsh Nagar,SHEKH ZAHID,M,44,GEN,IND,259,0,259,0.32,192851,7,0,OTHERS
86,2008,NCT of Delhi,Adarsh Nagar,LAL SINGH,M,37,GEN,IND,223,0,223,0.27,192851,8,0,OTHERS
87,2008,NCT of Delhi,Adarsh Nagar,VINOD KUMAR,M,49,GEN,IND,118,0,118,0.15,192851,9,0,OTHERS
88,2008,NCT of Delhi,Adarsh Nagar,AJAY KUMAR,M,46,GEN,IND,112,0,112,0.14,192851,10,0,OTHERS
89,2008,NCT of Delhi,Adarsh Nagar,VIJENDER KUMAR,M,48,GEN,IND,96,0,96,0.12,192851,11,0,OTHERS
90,2008,NCT of Delhi,Adarsh Nagar,RAJEEV,M,27,GEN,IND,93,0,93,0.11,192851,12,0,OTHERS
91,2008,NCT of Delhi,Adarsh Nagar,SUNIL KUMAR GUPTA,M,40,GEN,MBP,79,0,79,0.1,192851,13,0,OTHERS
95,2008,NCT of Delhi,Badli,DEVENDER YADAV,M,36,GEN,INC,39215,0,39215,39.86,143204,1,1,INC
