year,statename,lcname,category,candidate,sex,age,party,total,rank,electors,polled,win,alliance
2013,NCT of Delhi,NERELA,GEN,AJAY KUMAR,M,27,SP,285,12,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,AJAY MUDGIL,M,29,IND,633,8,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,AJIT SINGH,M,48,INLD,481,10,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,BALJIT SINGH MANN,M,60,AAAP,24031,4,211953,144440,0,AAAP
2013,NCT of Delhi,NERELA,GEN,JASWANT SINGH,M,60,INC,26311,3,211953,144440,0,INC
2013,NCT of Delhi,NERELA,GEN,MD YAKUB SIDAKI,M,46,JD(U),520,9,211953,144440,0,JD(U)
2013,NCT of Delhi,NERELA,GEN,NEEL DAMAN KHATRI,M,43,BJP,54622,1,211953,144440,1,BJP
2013,NCT of Delhi,NERELA,GEN,None of the Above,NULL,NULL,NOTA,931,6,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,PRAVESH,M,29,Aa S P,210,14,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,RAM GOPAL SHARMA,M,74,IND,3426,5,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,ROHTASH,M,62,CPI(ML)(L),338,11,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,SANJEEV KUMAR RANA,M,44,CPI,643,7,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,SATISH,M,26,LJP,266,13,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,SHAMIM,F,65,PECP,163,15,211953,144440,0,OTHERS
2013,NCT of Delhi,NERELA,GEN,VIRENDER,M,38,BSP,31077,2,211953,144440,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,AADESH,M,33,IND,506,10,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,AJIT KUMAR PANDEY,M,42,bjdi,557,9,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,DEEPAK TYAGI,M,43,INC,31649,3,246405,162530,0,INC
2013,NCT of Delhi,BURARI,GEN,DINESH KUMAR,M,30,BSKRP,137,23,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,DR RAMESH NARAYAN SINGH,M,56,IND,85,24,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,FAKIR CHAND,M,56,IJP,230,17,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,GANESH PAL,M,56,BSKP,496,11,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,GULAB SINGHAL,M,40,BNIP,172,22,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,JITENDER KUMAR,M,65,JD(U),2643,7,246405,162530,0,JD(U)
2013,NCT of Delhi,BURARI,GEN,KAMAL SHARMA,M,44,BSP,3664,5,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,MANAGER CHAURASIYA,M,45,SUCI,325,14,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,MUNNA,M,42,IND,211,19,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,NAFE SINGH RAJPUT,M,39,IND,369,12,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,None of the Above,NULL,NULL,NOTA,665,8,246405,162530,0,OTHERS
2013,NCT of Delhi,BURARI,GEN,PAWAN KUMAR DUGGAL,M,52,IND,285,15,246405,162530,0,OTHERS
