year,statename,lcname,candidate,sex,age,category,party,total,electors,polled,rank,win,alliance
2015,NCT OF Delhi,NERELA,SHARAD KUMAR,M,40,GEN,AAAP,96143,241032,160339,1,1,AAAP
2015,NCT OF Delhi,NERELA,NEEL DAMAN KHATRI,M,44,GEN,BJP,55851,241032,160339,2,0,BJP
2015,NCT OF Delhi,NERELA,PRAVEEN KUMAR BHUGRA,M,46,GEN,INC,4643,241032,160339,7,0,INC
2015,NCT OF Delhi,NERELA,ROOPESH BHARDWAJ,M,40,GEN,BSP,1662,241032,160339,9,0,OTHERS
2015,NCT OF Delhi,NERELA,None of the Above,NULL,NULL,GEN,NOTA,767,241032,160339,11,0,OTHERS
2015,NCT OF Delhi,NERELA,BRIJ MOHAN,M,37,GEN,SHS,478,241032,160339,16,0,OTHERS
2015,NCT OF Delhi,NERELA,SURENDER,M,48,GEN,CPI(ML)(L),363,241032,160339,17,0,OTHERS
2015,NCT OF Delhi,NERELA,MANOJ KUMAR,M,42,GEN,IND,218,241032,160339,21,0,OTHERS
2015,NCT OF Delhi,NERELA,AJAY MUDGIL,M,30,GEN,IND,191,241032,160339,23,0,OTHERS
2015,NCT OF Delhi,BURARI,SANJEEV JHA,M,35,GEN,AAAP,124724,288420,195481,1,1,AAAP
2015,NCT OF Delhi,BURARI,GOPAL JHA,M,46,GEN,BJP,56774,288420,195481,3,0,BJP
2015,NCT OF Delhi,BURARI,J S CHAUHAN,M,66,GEN,INC,6750,288420,195481,6,0,INC
2015,NCT OF Delhi,BURARI,RAMBIR,M,42,GEN,BSP,2343,288420,195481,11,0,OTHERS
2015,NCT OF Delhi,BURARI,MANAGER CHAURASIYA,M,45,GEN,SUCI,930,288420,195481,12,0,OTHERS
2015,NCT OF Delhi,BURARI,DHARAM PAL SINGH,M,49,GEN,SHS,561,288420,195481,14,0,OTHERS
2015,NCT OF Delhi,BURARI,KHADAK LAL,M,63,GEN,IND,540,288420,195481,16,0,OTHERS
2015,NCT OF Delhi,BURARI,RICHA MUNDRA,F,37,GEN,SASAPT,532,288420,195481,17,0,OTHERS
2015,NCT OF Delhi,BURARI,NAFE SINGH RAJPUT,M,41,GEN,IND,435,288420,195481,20,0,OTHERS
2015,NCT OF Delhi,BURARI,None of the Above,NULL,NULL,GEN,NOTA,413,288420,195481,21,0,OTHERS
2015,NCT OF Delhi,BURARI,PREM SHANKAR SHARMA,M,51,GEN,ABSPARTY,382,288420,195481,22,0,OTHERS
2015,NCT OF Delhi,BURARI,MADHU DIWAKAR,F,45,GEN,CPM,250,288420,195481,27,0,OTHERS
2015,NCT OF Delhi,BURARI,RANJAN KUMAR SINGH,M,29,GEN,BaJD,158,288420,195481,35,0,OTHERS
2015,NCT OF Delhi,BURARI,SUSHIL KUMAR MISHRA,M,41,GEN,ABHM,130,288420,195481,37,0,OTHERS
2015,NCT OF Delhi,BURARI,GULAB SINGHAL,M,39,GEN,RAJP,110,288420,195481,38,0,OTHERS
2015,NCT OF Delhi,BURARI,RAJBIR SINGH,M,34,GEN,IND,109,288420,195481,39,0,OTHERS
2015,NCT OF Delhi,BURARI,PRAVEN KUMAR,M,26,GEN,GaAP,105,288420,195481,40,0,OTHERS
2015,NCT OF Delhi,BURARI,PANKAJ KUMAR AGARAWAL,M,38,GEN,PpGP,96,288420,195481,41,0,OTHERS
2015,NCT OF Delhi,BURARI,KALPANA GUPTA,F,28,GEN,RPI(A),85,288420,195481,42,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,PANKAJ PUSHKAR,M,42,GEN,AAAP,64477,188992,126364,1,1,AAAP
2015,NCT OF Delhi,TIMARPUR,RAJNI ABBI,F,52,GEN,BJP,43830,188992,126364,2,0,BJP
2015,NCT OF Delhi,TIMARPUR,SURINDER PAL SINGH,M,54,GEN,INC,14642,188992,126364,6,0,INC
2015,NCT OF Delhi,TIMARPUR,MANOJ,M,37,GEN,BSP,592,188992,126364,10,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,HARJINDER SINGH,M,49,GEN,IND,581,188992,126364,11,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,None of the Above,NULL,NULL,GEN,NOTA,555,188992,126364,13,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,SANJEEV KUMAR RANA,M,46,GEN,CPI,542,188992,126364,14,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,CHAND MIYA,M,25,GEN,IND,448,188992,126364,15,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,SAVITA CHAUDHARY,F,52,GEN,IND,170,188992,126364,20,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,GUNJAN KUMAR,M,30,GEN,IND,129,188992,126364,21,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,SHESH NATH GOSWAMI,M,32,GEN,ABSPARTY,119,188992,126364,22,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,RAMESH,M,34,GEN,REP,99,188992,126364,23,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,PARAS NATH YADAV,M,46,GEN,bjdi,61,188992,126364,25,0,OTHERS
2015,NCT OF Delhi,TIMARPUR,VIDYA,F,39,GEN,PSPARTY,52,188992,126364,26,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,PAWAN KUMAR SHARMA,M,44,GEN,AAAP,54026,157749,105252,1,1,AAAP
2015,NCT OF Delhi,ADARSH NAGAR,RAM KISHAN SINGHAL,M,63,GEN,BJP,33285,157749,105252,3,0,BJP
2015,NCT OF Delhi,ADARSH NAGAR,MUKESH KUMAR GOEL,M,54,GEN,INC,15341,157749,105252,6,0,INC
2015,NCT OF Delhi,ADARSH NAGAR,VIJAY KUMAR AGGARWAL,M,53,GEN,IND,694,157749,105252,9,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,RAMNIWAS,M,40,GEN,BSP,679,157749,105252,10,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,None of the Above,NULL,NULL,GEN,NOTA,459,157749,105252,11,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,LAL SINGH,M,44,GEN,IND,263,157749,105252,13,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,SUNIL,M,34,GEN,IND,194,157749,105252,18,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,NARESH KUMAR CHOUBEY,M,48,GEN,BJKD,108,157749,105252,19,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,SUMAN,F,40,GEN,RPI(A),73,157749,105252,20,0,OTHERS
2015,NCT OF Delhi,ADARSH NAGAR,KRISHNA KUMAR SINGH,M,41,GEN,bjdi,61,157749,105252,21,0,OTHERS
2015,NCT OF Delhi,BADLI,AJESH YADAV,M,47,GEN,AAAP,72795,223268,142351,1,1,AAAP
2015,NCT OF Delhi,BADLI,DEVENDER YADAV,M,43,GEN,INC,37419,223268,142351,3,0,INC
2015,NCT OF Delhi,BADLI,RAJESH YADAV,M,41,GEN,BJP,28238,223268,142351,6,0,BJP
2015,NCT OF Delhi,BADLI,RAKESH KUMAR,M,40,GEN,SUCI,947,223268,142351,9,0,OTHERS
2015,NCT OF Delhi,BADLI,ANAND PRAKASH RANA,M,35,GEN,IND,729,223268,142351,10,0,OTHERS
