Year,Electors,Voters,Gender
1972,1171596,808991,male
1977,1568472,876235,male
1983,2089238,1156278,male
1993,3237048,2089763,male
1998,4851199,2468791,male
2003,4756330,2610829,male
2008,5966895,3481118,male
2013,6614238,4367527,male
2015,7391943,4999301,male
1972,896841,615393,female
1977,1171971,654260,female
1983,1623286,896208,female
1993,2613497,1522950,female
1998,3568942,1656195,female
2003,3691994,1902306,female
2008,4759678,2694957,female
2013,5321572,3466248,female
2015,5920490,3936688,female
