id,year,statename,pcname,candidate,sex,party,total,polled,validv,electors,polled,pollperc,Rank,win,alliance
1,1996,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU YERRANNAIDU,M,TDP,234278,36.82%,636346,983329,647219,65.82%,1,1,NATIONAL FRONT
2,1996,ANDHRA PRADESH,SRIKAKULAM,JAYA KRISHNA MANDAMURI,M,NTRTDP(LP),199700,31.38%,636346,983329,647219,65.82%,2,0,OTHERS
3,1996,ANDHRA PRADESH,SRIKAKULAM,KANITHI VISWANADHAM,M,INC,188559,29.63%,636346,983329,647219,65.82%,3,0,OTHERS
4,1996,ANDHRA PRADESH,SRIKAKULAM,KRISHNA CHANDRA RAO NAMBALLA,M,BJP,6328,0.99%,636346,983329,647219,65.82%,4,0,BJP
5,1996,ANDHRA PRADESH,SRIKAKULAM,KOTA SREENIVASA RAO,M,IND,1490,0.23%,636346,983329,647219,65.82%,5,0,OTHERS
6,1996,ANDHRA PRADESH,SRIKAKULAM,NAGESWARA RAO TANGUDU,M,IND,1397,0.22%,636346,983329,647219,65.82%,6,0,OTHERS
7,1996,ANDHRA PRADESH,SRIKAKULAM,RAJANA RAMA RAO,M,AIIC(T),1388,0.22%,636346,983329,647219,65.82%,7,0,OTHERS
8,1996,ANDHRA PRADESH,SRIKAKULAM,KUNCHAM KANAKA RAO,M,IND,1293,0.20%,636346,983329,647219,65.82%,8,0,OTHERS
9,1996,ANDHRA PRADESH,SRIKAKULAM,BOTCHA RAMARAO,M,IND,1025,0.16%,636346,983329,647219,65.82%,9,0,OTHERS
10,1996,ANDHRA PRADESH,SRIKAKULAM,BBA PADMANABHA SARMA(ABBI),M,IND,888,0.14%,636346,983329,647219,65.82%,10,0,OTHERS
11,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),PRADEEP KUMAR DEV VYRICHERLA,M,INC,231188,39.95%,578705,914919,593995,64.92%,1,1,OTHERS
12,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),VISWASARAI NARASIMHA RAO,M,TDP,222900,38.52%,578705,914919,593995,64.92%,2,0,NATIONAL FRONT
13,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),SATRUCHERLA VIJAYA RAMARAJU,M,NTRTDP(LP),100835,17.42%,578705,914919,593995,64.92%,3,0,OTHERS
14,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),CHUKKA MAHALAXMI,F,BJP,10396,1.80%,578705,914919,593995,64.92%,4,0,BJP
15,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),VOOYAKA MUTYALU,M,IND,7006,1.21%,578705,914919,593995,64.92%,5,0,OTHERS
16,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),PAKKI APPARAO,M,IND,3484,0.60%,578705,914919,593995,64.92%,6,0,OTHERS
17,1996,ANDHRA PRADESH,PARVATHIPURAM (ST),ARIKA GUMPASWAMY,M,IND,2896,0.50%,578705,914919,593995,64.92%,7,0,OTHERS
18,1996,ANDHRA PRADESH,BOBBILI,KONDAPALLI PYDITHALLI NAIDU,M,TDP,276298,44.16%,625676,942900,640026,67.88%,1,1,NATIONAL FRONT
19,1996,ANDHRA PRADESH,BOBBILI,BOTCHA SATYANARAYANA,M,INC,255331,40.81%,625676,942900,640026,67.88%,2,0,OTHERS
20,1996,ANDHRA PRADESH,BOBBILI,GADDE BABURAO,M,NTRTDP(LP),72230,11.54%,625676,942900,640026,67.88%,3,0,OTHERS
21,1996,ANDHRA PRADESH,BOBBILI,REDDI SATARAO,M,BJP,7639,1.22%,625676,942900,640026,67.88%,4,0,BJP
22,1996,ANDHRA PRADESH,BOBBILI,GODELA KURMINAIDU,M,AIIC(T),2633,0.42%,625676,942900,640026,67.88%,5,0,OTHERS
23,1996,ANDHRA PRADESH,BOBBILI,VARRI NARASIMHA MURTHY,M,IND,1838,0.29%,625676,942900,640026,67.88%,6,0,OTHERS
24,1996,ANDHRA PRADESH,BOBBILI,KUNCHAM KANAKA RAO,M,IND,1589,0.25%,625676,942900,640026,67.88%,7,0,OTHERS
25,1996,ANDHRA PRADESH,BOBBILI,BODDU RAJABHUSHANAM,M,IND,1277,0.20%,625676,942900,640026,67.88%,8,0,OTHERS
26,1996,ANDHRA PRADESH,BOBBILI,ROUTHU SURYANARAYANA,M,IND,1164,0.19%,625676,942900,640026,67.88%,9,0,OTHERS
27,1996,ANDHRA PRADESH,BOBBILI,VANKATA SATYA APPALA NARAYANA YEDLA,M,IND,824,0.13%,625676,942900,640026,67.88%,10,0,OTHERS
28,1996,ANDHRA PRADESH,BOBBILI,VENKATARAO YELLAPU,M,IND,801,0.13%,625676,942900,640026,67.88%,11,0,OTHERS
29,1996,ANDHRA PRADESH,BOBBILI,VENKATA RAMAN CHANDAKA,M,IND,774,0.12%,625676,942900,640026,67.88%,12,0,OTHERS
30,1996,ANDHRA PRADESH,BOBBILI,BOTSA RAMULU,M,IND,743,0.12%,625676,942900,640026,67.88%,13,0,OTHERS
31,1996,ANDHRA PRADESH,BOBBILI,RAMBABU SOMU,M,IND,685,0.11%,625676,942900,640026,67.88%,14,0,OTHERS
32,1996,ANDHRA PRADESH,BOBBILI,APPALANAIDU GOTTAPU,M,IND,615,0.10%,625676,942900,640026,67.88%,15,0,OTHERS
33,1996,ANDHRA PRADESH,BOBBILI,DURGAPRASADARAO KANDREGULA,M,IND,543,0.09%,625676,942900,640026,67.88%,16,0,OTHERS
34,1996,ANDHRA PRADESH,BOBBILI,APPARAO GUDIVADA,M,IND,390,0.06%,625676,942900,640026,67.88%,17,0,OTHERS
35,1996,ANDHRA PRADESH,BOBBILI,SIYYADUALA YELLARAO,M,IND,302,0.05%,625676,942900,640026,67.88%,18,0,OTHERS
36,1996,ANDHRA PRADESH,VISAKHAPATNAM,T SUBBARAMI REDDI,M,INC,365700,43.91%,832875,1394475,849194,60.90%,1,1,OTHERS
37,1996,ANDHRA PRADESH,VISAKHAPATNAM,ANANDA GAJAPATHI RAJU POOSAPATI,M,TDP,358241,43.01%,832875,1394475,849194,60.90%,2,0,NATIONAL FRONT
38,1996,ANDHRA PRADESH,VISAKHAPATNAM,M VENKATA RAO,M,NTRTDP(LP),59341,7.12%,832875,1394475,849194,60.90%,3,0,OTHERS
39,1996,ANDHRA PRADESH,VISAKHAPATNAM,ALWARDAS SUNKARI,M,BJP,23897,2.87%,832875,1394475,849194,60.90%,4,0,BJP
40,1996,ANDHRA PRADESH,VISAKHAPATNAM,ANANTHATHMULA SURYANARAYANA MURTHY,M,IND,3885,0.47%,832875,1394475,849194,60.90%,5,0,OTHERS
41,1996,ANDHRA PRADESH,VISAKHAPATNAM,KANDARPA NARAYANA MURTHY (NEHRU),M,IND,2454,0.29%,832875,1394475,849194,60.90%,6,0,OTHERS
42,1996,ANDHRA PRADESH,VISAKHAPATNAM,APPA RAO GUDIVADA,M,IND,1966,0.24%,832875,1394475,849194,60.90%,7,0,OTHERS
43,1996,ANDHRA PRADESH,VISAKHAPATNAM,ESMARA RAO POTNURU,M,IND,1650,0.20%,832875,1394475,849194,60.90%,8,0,OTHERS
44,1996,ANDHRA PRADESH,VISAKHAPATNAM,ADDA BHARATH KUMAR,M,JP,1623,0.19%,832875,1394475,849194,60.90%,9,0,OTHERS
