id,year,statename,pcname,candidate,sex,age,PC Type,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance
1,2004,ANDHRA PRADESH,Srikakulam,YERRANNAIDU KINJARAPU,M,,GEN,GEN,TDP,,,,361906,37.75%,49.99%,958626,1,723948,1,0,OTHERS
2,2004,ANDHRA PRADESH,Srikakulam,KILLI KRUPARANI,F,,GEN,GEN,INC,,,,330027,34.43%,45.59%,958626,2,723948,0,1,UPA
3,2004,ANDHRA PRADESH,Srikakulam,DUNGA RANGARAO NAIDU,M,,GEN,GEN,IND,,,,13848,1.44%,1.91%,958626,3,723948,0,0,OTHERS
4,2004,ANDHRA PRADESH,Srikakulam,MYLAPALLI LAKSHMUDU,M,,GEN,GEN,BSP,,,,13011,1.36%,1.80%,958626,4,723948,0,0,OTHERS
5,2004,ANDHRA PRADESH,Srikakulam,TAMMINENI JAGANMOHAN RAO,M,,GEN,GEN,IND,,,,4982,0.52%,0.69%,958626,5,723948,0,0,OTHERS
6,2004,ANDHRA PRADESH,Parvathipuram,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,M,,ST,ST,INC,,,,321788,35.90%,48.69%,896336,1,660932,1,0,UPA
7,2004,ANDHRA PRADESH,Parvathipuram,DADICHILUKA VEERA GOURI SANKARA RAO,M,,ST,ST,TDP,,,,314370,35.07%,47.56%,896336,2,660932,0,1,OTHERS
8,2004,ANDHRA PRADESH,Parvathipuram,UOOYAKA MUTYALU,M,,ST,ST,IND,,,,13896,1.55%,2.10%,896336,3,660932,0,0,OTHERS
9,2004,ANDHRA PRADESH,Parvathipuram,ARIKA GUMPASWAMY,M,,ST,ST,IND,,,,10869,1.21%,1.64%,896336,4,660932,0,0,OTHERS
10,2004,ANDHRA PRADESH,Bobbili,KONDAPALLI PYDITHALLI NAIDU,M,,GEN,GEN,TDP,,,,373922,38.31%,50.05%,976012,1,747072,1,0,OTHERS
11,2004,ANDHRA PRADESH,Bobbili,JHANSI BOTCHA,F,,GEN,GEN,INC,,,,342574,35.10%,45.86%,976012,2,747072,0,1,UPA
12,2004,ANDHRA PRADESH,Bobbili,PEDDINTI JAGANMOHAN RAO,M,,GEN,GEN,IND,,,,16098,1.65%,2.15%,976012,3,747072,0,0,OTHERS
13,2004,ANDHRA PRADESH,Bobbili,G.VENKATESH,M,,GEN,SC,TRS,,,,14131,1.45%,1.89%,976012,4,747072,0,0,UPA
14,2004,ANDHRA PRADESH,Visakhapatnam,JANARDHANA REDDY NEDURUMALLI,M,,GEN,GEN,INC,,,,524122,34.58%,54.25%,1515574,1,966128,1,0,UPA
15,2004,ANDHRA PRADESH,Visakhapatnam,DR.M.V.V.S.MURTHY,M,,GEN,GEN,TDP,,,,393551,25.97%,40.73%,1515574,2,966128,0,1,OTHERS
16,2004,ANDHRA PRADESH,Visakhapatnam,KOLAVENTI SUNDARA RAO,M,,GEN,GEN,BSP,,,,16673,1.10%,1.73%,1515574,3,966128,0,0,OTHERS
17,2004,ANDHRA PRADESH,Visakhapatnam,BHARANIKANA RAMA RAO,M,,GEN,GEN,IND,,,,11002,0.73%,1.14%,1515574,4,966128,0,0,OTHERS
18,2004,ANDHRA PRADESH,Visakhapatnam,MANDEM SUBHASH CHANDRA BOSE YADAV,M,,GEN,GEN,SP,,,,5685,0.38%,0.59%,1515574,5,966128,0,0,OTHERS
19,2004,ANDHRA PRADESH,Visakhapatnam,SATYANARAYANA MACHIRAJU,M,,GEN,GEN,IND,,,,5602,0.37%,0.58%,1515574,6,966128,0,0,OTHERS
20,2004,ANDHRA PRADESH,Visakhapatnam,VAMSI KIRAN.B,M,,GEN,GEN,PPOI,,,,2920,0.19%,0.30%,1515574,7,966128,0,0,OTHERS
21,2004,ANDHRA PRADESH,Visakhapatnam,S.V.B.REDDY,M,,GEN,GEN,IND,,,,2358,0.16%,0.24%,1515574,8,966128,0,0,OTHERS
22,2004,ANDHRA PRADESH,Visakhapatnam,MAMIDI SOMUNAIDU,M,,GEN,GEN,RJD,,,,2018,0.13%,0.21%,1515574,9,966128,0,0,UPA
23,2004,ANDHRA PRADESH,Visakhapatnam,APPARAO GUDIVADA,M,,GEN,GEN,IND,,,,1809,0.12%,0.19%,1515574,10,966128,0,0,OTHERS
24,2004,ANDHRA PRADESH,Bhadrachalam,MIDIYAM BABU RAO,M,,ST,ST,CPM,,,,373148,31.27%,45.31%,1193297,1,823532,1,0,LEFT FRONT
25,2004,ANDHRA PRADESH,Bhadrachalam,SMT.KPRK PHANEESWARAMMA,F,,ST,ST,TDP,,,,319342,26.76%,38.78%,1193297,2,823532,0,1,OTHERS
26,2004,ANDHRA PRADESH,Bhadrachalam,JANNI APPA RAO,M,,ST,ST,BSP,,,,71978,6.03%,8.74%,1193297,3,823532,0,0,OTHERS
27,2004,ANDHRA PRADESH,Bhadrachalam,KETCHELA RANGA REDDI,M,,ST,ST,IND,,,,38219,3.20%,4.64%,1193297,4,823532,0,0,OTHERS
28,2004,ANDHRA PRADESH,Bhadrachalam,MADAKAM BHEEMA RAJU,M,,ST,ST,MCPI(S),,,,20728,1.74%,2.52%,1193297,5,823532,0,0,OTHERS
29,2004,ANDHRA PRADESH,Anakapalli,CHALAPATHIRAO PAPPALA,M,,GEN,GEN,TDP,,,,385406,37.67%,49.28%,1023113,1,782106,1,0,OTHERS
30,2004,ANDHRA PRADESH,Anakapalli,NANDA GOPAL GANDHAM,M,,GEN,GEN,INC,,,,369992,36.16%,47.31%,1023113,2,782106,0,1,UPA
31,2004,ANDHRA PRADESH,Anakapalli,SADARAM APPALA RAJU,M,,GEN,GEN,BSP,,,,26708,2.61%,3.41%,1023113,3,782106,0,0,OTHERS
32,2004,ANDHRA PRADESH,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,M,,GEN,GEN,INC,,,,410982,35.28%,49.38%,1164984,1,832347,1,0,UPA
33,2004,ANDHRA PRADESH,Kakinada,MUDRAGADA PADMANABHAM,M,,GEN,GEN,TDP,,,,353730,30.36%,42.50%,1164984,2,832347,0,1,OTHERS
34,2004,ANDHRA PRADESH,Kakinada,CHANDRAVATHI DWARAMPUDI,F,,GEN,GEN,IND,,,,30153,2.59%,3.62%,1164984,3,832347,0,0,OTHERS
35,2004,ANDHRA PRADESH,Kakinada,APPARAO PUAGALA,M,,GEN,SC,BSP,,,,16373,1.41%,1.97%,1164984,4,832347,0,0,OTHERS
36,2004,ANDHRA PRADESH,Kakinada,NAINALASETTI MURTHY,M,,GEN,GEN,CPI(ML)(L),,,,9458,0.81%,1.14%,1164984,5,832347,0,0,LEFT FRONT
37,2004,ANDHRA PRADESH,Kakinada,PUVVALA ANANDA RAO,M,,GEN,SC,IND,,,,8544,0.73%,1.03%,1164984,6,832347,0,0,OTHERS
38,2004,ANDHRA PRADESH,Kakinada,CHAGANTI SURYANARAYANA MURTHY,M,,GEN,GEN,IND,,,,3044,0.26%,0.37%,1164984,7,832347,0,0,OTHERS
39,2004,ANDHRA PRADESH,Rajahmundry,ARUNA KUMAR VUNDAVALLI,M,,GEN,GEN,INC,,,,413927,38.53%,50.71%,1074223,1,816276,1,0,UPA
40,2004,ANDHRA PRADESH,Rajahmundry,KANTIPUDI SARVARAYUDU,M,,GEN,GEN,BJP,,,,265107,24.68%,32.48%,1074223,2,816276,0,1,NDA
