Sl No,Name,Start Date,End Date,Days,Party
1,Edappadi K Palaniswami,16-Feb-17,31-Dec-19,1048,AIADMK
2,O. Panneerselvam,06-Dec-16,16-Feb-17,72,AIADMK
3,J. Jayalalithaa,19-May-16,05-Dec-16,200,AIADMK
4,J. Jayalalithaa,23-May-15,19-May-16,362,AIADMK
5,O Panneerselvam,29-Sep-14,23-May-15,236,AIADMK
6,J. Jayalalithaa,16-May-11,28-Sep-14,1231,AIADMK
7,M. Karunanidhi,13-May-06,15-May-11,1828,President
8,J. Jayalalithaa,02-Mar-02,12-May-06,1532,AIADMK
9,O. Panneerselvam,21-Sep-01,01-Mar-02,161,AIADMK
10,J. Jayalalithaa,14-May-01,21-Sep-01,130,AIADMK
11,M. Karunanidhi,13-May-96,13-May-01,1826,DMK
12,J. Jayalalithaa,24-Jun-91,12-May-96,1784,AIADMK
13,President's rule,30-Jan-91,24-Jun-91,145,President
14,M. Karunanidhi,27-Jan-89,30-Jan-91,733,DMK
15,President's rule,30-Jan-88,27-Jan-89,363,President
16,Janaki Ramachandran,07-Jan-88,30-Jan-88,23,AIADMK
17,V.R. Nedunchezhiyan (acting),24-Dec-87,07-Jan-88,14,AIADMK
18,M. G. Ramachandran,10-Feb-85,24-Dec-87,1047,AIADMK
19,V.R. Nedunchezhiyan (acting),16-Nov-84,09-Feb-85,85,President
20,M. G. Ramachandran,09-Jun-80,15-Nov-84,1620,AIADMK
21,President's rule,17-Feb-80,09-Jun-80,113,President
22,M. G. Ramachandran,30-Jun-77,17-Feb-80,962,AIADMK
23,President's rule,31-Jan-76,30-Jun-77,516,President
24,M. Karunanidhi,15-Mar-71,31-Jan-76,1783,DMK
25,M. Karunanidhi,10-Feb-69,04-Jan-71,693,DMK
26,V.R. Nedunchezhiyan (acting),03-Feb-69,10-Feb-69,7,DMK
27,C. N. Annadurai,14-Jan-69,03-Feb-69,20,DMK
28,C. N. Annadurai,06-Mar-67,14-Jan-69,680,DMK
29,M. Bakthavatsalam,02-Oct-63,06-Mar-67,1251,INC
30,K. Kamaraj,12-Mar-62,02-Oct-63,569,INC
31,K. Kamaraj,13-Apr-57,01-Mar-62,1783,INC
32,K. Kamaraj,13-Apr-54,31-Mar-57,1083,INC
33,C. Rajagopalachari,10-Apr-52,13-Apr-54,733,INC
34,P. S. Kumaraswamy Raja,26-Jan-50,09-Apr-52,804,INC
