Date,P/E,P/B,Div Yield
13-Mar-20,22.66,2.8,1.53
12-Mar-20,21.83,2.7,1.59
11-Mar-20,23.8,2.94,1.46
09-Mar-20,23.79,2.94,1.46
06-Mar-20,25.01,3.09,1.39
05-Mar-20,25.65,3.17,1.35
04-Mar-20,25.61,3.17,1.35
03-Mar-20,25.73,3.18,1.35
02-Mar-20,25.34,3.13,1.37
28-Feb-20,25.49,3.15,1.36
27-Feb-20,26.48,3.27,1.31
26-Feb-20,26.58,3.29,1.3
25-Feb-20,26.85,3.32,1.29
24-Feb-20,26.92,3.33,1.29
20-Feb-20,27.5,3.4,1.26
19-Feb-20,27.6,3.41,1.26
18-Feb-20,27.29,3.38,1.27
17-Feb-20,27.42,3.39,1.27
14-Feb-20,27.45,3.41,1.26
13-Feb-20,27.59,3.43,1.25
12-Feb-20,27.65,3.44,1.25
11-Feb-20,27.21,3.41,1.26
10-Feb-20,26.89,3.39,1.27
07-Feb-20,27.03,3.41,1.26
06-Feb-20,27.16,3.42,1.26
05-Feb-20,27.05,3.4,1.26
04-Feb-20,26.57,3.37,1.27
03-Feb-20,25.9,3.3,1.3
01-Feb-20,25.75,3.28,1.31
31-Jan-20,26.41,3.37,1.27
30-Jan-20,26.57,3.39,1.27
29-Jan-20,26.81,3.42,1.26
28-Jan-20,26.65,3.4,1.26
27-Jan-20,27.73,3.42,1.25
24-Jan-20,28.1,3.45,1.24
23-Jan-20,27.88,3.43,1.25
22-Jan-20,27.73,3.42,1.26
21-Jan-20,27.84,3.45,1.25
20-Jan-20,28,3.63,1.25
17-Jan-20,28.61,3.67,1.24
16-Jan-20,28.62,3.68,1.24
15-Jan-20,28.63,3.81,1.22
14-Jan-20,28.67,3.81,1.22
13-Jan-20,28.67,3.8,1.22
10-Jan-20,28.51,3.78,1.23
09-Jan-20,28.41,3.77,1.23
08-Jan-20,27.97,3.71,1.25
07-Jan-20,28.03,3.72,1.25
06-Jan-20,27.89,3.7,1.26
