Download_date,State,City,Station,From Date,To Date,PM2.5
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 00:00,01-10-2017 01:00,22
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 01:00,01-10-2017 02:00,14.94
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 02:00,01-10-2017 03:00,18.16
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 03:00,01-10-2017 04:00,58.03
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 04:00,01-10-2017 05:00,29.01
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 05:00,01-10-2017 06:00,16.42
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 06:00,01-10-2017 07:00,42.13
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 07:00,01-10-2017 08:00,21.06
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 08:00,01-10-2017 09:00,10.53
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 09:00,01-10-2017 10:00,5.26
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 10:00,01-10-2017 11:00,2.63
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 11:00,01-10-2017 12:00,1.72
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 12:00,01-10-2017 13:00,9.25
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 13:00,01-10-2017 14:00,111.38
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 14:00,01-10-2017 15:00,0.44
"Tuesday, Jan 07 2020",Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",01-10-2017 15:00,01-10-2017 16:00,12.47
