Sl No,Name,Start Date,End Date,Days,Party
1,Chaudhary Brahm Parkash,17-Mar-52,12-Feb-55,1062,INC
2,Gurmukh Nihal Singh,13-Feb-55,31-Oct-56,626,INC
3,Madan Lal Khurana,02-Dec-93,26-Feb-96,816,BJP
4,Sahib Singh Verma,27-Feb-96,12-Oct-98,958,BJP
5,Sushma Swaraj,13-Oct-98,03-Dec-98,51,BJP
6,Sheila Dikshit,04-Dec-98,01-Dec-03,1823,INC
7,Sheila Dikshit,02-Dec-03,29-Nov-08,1824,INC
8,Sheila Dikshit,30-Nov-08,27-Dec-13,1853,INC
9,Arvind Kejriwal,28-Dec-13,14-Feb-14,48,AAP
10,Arvind Kejriwal,14-Feb-15,15-Feb-20,1827,AAP
