Year,Party,CONTESTED,WON,FD,VOTES,Total_Voters
1951,INC,47,39,0,271812,656915
1972,INC,52,44,1,681324,2068437
1977,INC,52,10,1,538974,2740443
1983,BJP,50,19,0,666605,3712524
1983,INC,56,34,0,856055,3712524
1993,BJP,70,49,0,1520675,5850545
1993,INC,70,14,4,1224361,5850545
1993,BSP,55,0,55,66796,5850545
1998,BJP,67,15,2,1390689,8420141
1998,BSP,58,0,57,126197,8420141
1998,INC,70,52,1,1952071,8420141
2003,BJP,70,20,7,1589323,8448324
2003,BSP,40,0,36,259905,8448324
2003,INC,70,47,1,2172062,8448324
2008,BJP,69,23,4,2244629,10726573
2008,BSP,70,2,49,867672,10726573
2008,INC,70,43,1,2489816,10726573
2013,BJP,68,31,2,2604100,11936360
2013,INC,70,8,11,1932933,11936360
2013,BSP,69,0,63,420926,11936360
2013,AAAP,70,28,9,2322330,11936360
2015,BJP,69,3,2,2890485,13313295
2015,BSP,70,0,69,117093,13313295
2015,INC,70,0,62,866814,13313295
2015,AAAP,70,67,0,4878397,13313295
