Year,State Name,Electors,Total Voters
1951,Ajmer,329484,178999
1951,ASSAM,4141720,2647127
1951,Bhopal,419970,169457
1951,BIHAR,18080181,9992451
1951,Bilaspur,68130,0
1951,Bombay,16789609,11528290
1951,Coorg,94593,63813
1951,HIMACHAL PRADESH,531018,223189
1951,Hyderabad,9032229,4854862
1951,Kutch,288400,119580
1951,Madhya Bharat,4090857,1953571
1951,MADHYA PRADESH,11075140,7192591
1951,Madras,26980961,19934161
1951,MANIPUR,298552,152467
1951,Mysore,3969735,2824427
1951,NCT OF DELHI,744668,655900
1951,Orissa,7708161,3659493
1951,Patiala And East Punjab States Union,1763531,1475112
1951,PUNJAB,6718345,4992338
1951,RAJASTHAN,7676419,3526957
1951,Saurashtra,1838880,762705
1951,Travancore Cochin,4210244,3490476
1951,TRIPURA,329806,157371
1951,UTTAR PRADESH,31770309,17074975
1951,Vindhya Pradesh,1760926,705838
1951,WEST BENGAL,12500475,7613933
1957,ANDHRA PRADESH,17668716,9531373
1957,ASSAM,4495359,2292612
1957,BIHAR,19514567,10007876
1957,Bombay,24458672,16760285
1957,HIMACHAL PRADESH,671906,362641
1957,KERALA,7514626,6050246
1957,MADHYA PRADESH,14010137,7614222
1957,Madras,17514993,10950841
1957,MANIPUR,330211,174091
1957,Mysore,10006936,5798440
1957,NCT OF DELHI,976352,811344
1957,Odisha,7983915,4440490
1957,PUNJAB,9209026,7183830
1957,RAJASTHAN,8745726,4649083
1957,TRIPURA,432902,550338
1957,UTTAR PRADESH,34901603,22896103
1957,WEST BENGAL,15216532,10440100
1962,ANDHRA PRADESH,19007856,12302352
1962,ASSAM,4942816,2607519
1962,BIHAR,22115041,10386746
1962,GUJARAT,9524979,5526904
1962,HIMACHAL PRADESH,711596,252965
1962,KERALA,8003142,5645940
1962,MADHYA PRADESH,15874238,7109378
1962,Madras,18675436,12843914
1962,MAHARASHTRA,19396233,11721955
1962,MANIPUR,405210,264770
1962,Mysore,11353892,6733403
1962,NCT OF DELHI,1345360,924885
1962,Odisha,8785519,2070142
1962,PUNJAB,10745652,7028778
1962,RAJASTHAN,10327596,5415561
1962,TRIPURA,480609,326605
1962,UTTAR PRADESH,36660759,18703934
1962,WEST BENGAL,18005635,10038533
1967,ANDAMAN & NICOBAR ISLANDS,47064,36924
1967,ANDHRA PRADESH,21091212,14124097
1967,ASSAM,5741959,3157355
1967,BIHAR,27729950,14289861
1967,CHANDIGARH,76232,49829
1967,DADRA & NAGAR HAVELI,29564,23144
1967,"GOA, DAMAN & DIU",418394,286050
1967,GUJARAT,10692948,6818682
1967,HARYANA,4386711,3185295
1967,HIMACHAL PRADESH,1582315,810128
1967,JAMMU & KASHMIR,1632522,872104
1967,KERALA,8616556,6517765
1967,"Laccadive, Minicoy & Amindivi",14505,11897
1967,MADHYA PRADESH,18393340,9833743
1967,Madras,20796700,15922449
1967,MAHARASHTRA,22225473,14391706
1967,MANIPUR,483049,324796
1967,Mysore,12778996,8044053
1967,NAGALAND,214951,0
1967,NCT OF DELHI,1684714,1170743
1967,Odisha,9883171,4318749
1967,PONDICHERRY,216689,162193
1967,PUNJAB,6311501,4489663
1967,RAJASTHAN,12176265,7095560
1967,TRIPURA,601964,450521
1967,UTTAR PRADESH,42131487,22966855
1967,WEST BENGAL,20249169,13370449
1971,ANDAMAN & NICOBAR ISLANDS,63122,44531
1971,ANDHRA PRADESH,22697905,13420873
1971,ASSAM,6268273,3177170
1971,BIHAR,31019951,15186628
1971,CHANDIGARH,116685,73418
1971,DADRA & NAGAR HAVELI,33012,23037
1971,"GOA, DAMAN & DIU",435168,243341
1971,GUJARAT,11535312,6401309
1971,HARYANA,4768740,3068699
1971,HIMACHAL PRADESH,1708667,703727
1971,JAMMU & KASHMIR,2097623,1219085
1971,KERALA,10217893,6593446
1971,"Laccadive, Minicoy & Amindivi",14977,0
1971,MADHYA PRADESH,19578837,9397900
1971,MAHARASHTRA,24008058,14391012
1971,MANIPUR,543407,265495
1971,Mysore,13789186,7917061
1971,NAGALAND,275459,148125
1971,NCT OF DELHI,2016396,1314480
1971,Odisha,10864978,4693064
1971,PONDICHERRY,246789,172992
1971,PUNJAB,6950385,4163167
1971,RAJASTHAN,13244556,7158072
1971,TAMIL NADU,23064983,16565649
1971,TRIPURA,703736,428203
1971,UTTAR PRADESH,45856709,21099018
1971,WEST BENGAL,22068325,13667300
1977,ANDAMAN & NICOBAR ISLANDS,85308,60590
1977,ANDHRA PRADESH,27567618,17220943
1977,ARUNACHAL PRADESH,215657,52764
1977,ASSAM,7225616,3965448
1977,BIHAR,34996402,21264278
1977,CHANDIGARH,160963,108494
1977,DADRA & NAGAR HAVELI,37532,25706
1977,"GOA, DAMAN & DIU",477404,299786
1977,GUJARAT,14109708,8353883
1977,HARYANA,5766654,4224405
1977,HIMACHAL PRADESH,1961050,1167927
1977,JAMMU & KASHMIR,2557422,1479514
1977,KARNATAKA,16767195,10596342
1977,KERALA,11460901,9077000
1977,LAKSHADWEEP,19471,16480
1977,MADHYA PRADESH,22782932,12512691
1977,MAHARASHTRA,28856991,17404823
1977,MANIPUR,788223,473895
1977,MEGHALAYA,530326,264544
1977,MIZORAM,204480,102075
1977,NAGALAND,473257,250016
1977,NCT OF DELHI,2547064,1816372
1977,Odisha,12645435,5603842
1977,PONDICHERRY,298192,219560
1977,PUNJAB,8163885,5725795
1977,RAJASTHAN,15240432,8673720
1977,SIKKIM,124023,0
1977,TAMIL NADU,27187417,18252182
1977,TRIPURA,866056,606833
1977,UTTAR PRADESH,51934297,29311002
1977,WEST BENGAL,25122416,15133005
1980,ANDAMAN & NICOBAR ISLANDS,96084,81146
1980,ANDHRA PRADESH,30497603,17363759
1980,ARUNACHAL PRADESH,266650,182909
1980,ASSAM,1209486,645560
1980,BIHAR,39713395,20600067
1980,CHANDIGARH,197016,125944
1980,DADRA & NAGAR HAVELI,45874,33378
1980,"GOA, DAMAN & DIU",522652,363126
1980,GUJARAT,16499141,9141539
1980,HARYANA,6912965,4476526
1980,HIMACHAL PRADESH,2175326,1277049
1980,JAMMU & KASHMIR,2867637,1377988
1980,KARNATAKA,19562924,11289532
1980,KERALA,13266764,8246713
1980,LAKSHADWEEP,20117,17860
1980,MADHYA PRADESH,25186438,13058719
1980,MAHARASHTRA,33485064,19018800
1980,MANIPUR,909282,742442
1980,MEGHALAYA,225582,115575
1980,MIZORAM,230795,129533
1980,NAGALAND,460083,294009
1980,NCT OF DELHI,3069636,1991869
1980,Odisha,13847828,6413550
1980,PONDICHERRY,319237,256539
1980,PUNJAB,9741135,6103192
1980,RAJASTHAN,17764848,9709582
1980,SIKKIM,118224,52895
1980,TAMIL NADU,28113893,18767818
1980,TRIPURA,1057506,845729
1980,UTTAR PRADESH,58035998,28994104
1980,WEST BENGAL,29786146,21035441
1984,ANDAMAN & NICOBAR ISLANDS,115565,91093
1984,ANDHRA PRADESH,33546487,23136116
1984,ARUNACHAL PRADESH,319049,240762
1984,ASSAM,10097661,7815702
1984,BIHAR,43341090,25484520
1984,CHANDIGARH,229291,158050
1984,DADRA & NAGAR HAVELI,54066,40331
1984,"GOA, DAMAN & DIU",586656,421257
1984,GUJARAT,18843760,10916331
1984,HARYANA,7725946,5163799
1984,HIMACHAL PRADESH,2314024,1422000
1984,JAMMU & KASHMIR,3400010,2258113
1984,KARNATAKA,21102484,13857272
1984,KERALA,14276072,11011029
1984,LAKSHADWEEP,21964,19105
1984,MADHYA PRADESH,28143638,16190117
1984,MAHARASHTRA,36359537,22451250
1984,MANIPUR,1014071,869614
1984,MEGHALAYA,751283,409212
1984,MIZORAM,255676,0
1984,NAGALAND,594062,394820
1984,NCT OF DELHI,3496781,2254869
1984,Odisha,14943456,8407165
1984,PONDICHERRY,381366,275654
1984,PUNJAB,10737064,7232374
1984,RAJASTHAN,20117285,11465051
1984,SIKKIM,149256,86024
1984,TAMIL NADU,30958080,22591943
1984,TRIPURA,1208967,934814
1984,UTTAR PRADESH,62335043,34788786
1984,WEST BENGAL,32955643,25907790
1989,ANDAMAN & NICOBAR ISLANDS,160940,115403
1989,ANDHRA PRADESH,42475179,29916616
1989,ARUNACHAL PRADESH,476051,281665
1989,BIHAR,52193269,31441378
1989,CHANDIGARH,334522,219697
1989,DADRA & NAGAR HAVELI,74320,54200
1989,DAMAN & DIU,56719,37451
1989,GOA,734315,427065
1989,GUJARAT,24334172,13281560
1989,HARYANA,9636688,6207111
1989,HIMACHAL PRADESH,2983359,1907725
1989,JAMMU & KASHMIR,4155297,1066879
1989,KARNATAKA,28611444,19320008
1989,KERALA,18924136,15007250
1989,LAKSHADWEEP,30069,25555
1989,MADHYA PRADESH,36890694,20368256
1989,MAHARASHTRA,47205941,28256668
1989,MANIPUR,1219514,875158
1989,MEGHALAYA,937860,486967
1989,MIZORAM,391700,228202
1989,NAGALAND,813011,607429
1989,NCT OF DELHI,5702828,3096655
1989,Odisha,19440758,11523099
1989,PONDICHERRY,574557,383306
1989,PUNJAB,12948035,8114095
1989,RAJASTHAN,25814515,14594160
1989,SIKKIM,192619,138698
1989,TAMIL NADU,40027212,26763788
1989,TRIPURA,1536550,1288985
1989,UTTAR PRADESH,79615094,40815295
1989,WEST BENGAL,40414761,32200171
1991,ANDAMAN & NICOBAR ISLANDS,169120,108822
1991,ANDHRA PRADESH,42617973,26176731
1991,ARUNACHAL PRADESH,519315,266324
1991,ASSAM,11873952,8935495
1991,BIHAR,50453647,30449327
1991,CHANDIGARH,372792,215637
1991,DADRA & NAGAR HAVELI,75009,49863
1991,DAMAN & DIU,57892,38786
1991,GOA,754319,319727
1991,GUJARAT,24882508,10950062
1991,HARYANA,9725897,6403796
1991,HIMACHAL PRADESH,3076182,1766549
1991,JAMMU & KASHMIR,,
1991,KARNATAKA,28839296,15807311
1991,KERALA,19657976,14413243
1991,LAKSHADWEEP,31665,25449
1991,MADHYA PRADESH,37708721,16726540
1991,MAHARASHTRA,48631193,23708067
1991,MANIPUR,1232149,858194
1991,MEGHALAYA,942513,506636
1991,MIZORAM,414412,242999
1991,NAGALAND,814836,628015
1991,NCT OF DELHI,6073156,2946814
1991,Odisha,19804564,10656213
1991,PONDICHERRY,593305,401741
1991,PUNJAB,13169797,3155523
1991,RAJASTHAN,26513502,12526960
1991,SIKKIM,201704,118502
1991,TAMIL NADU,39917777,25514736
1991,TRIPURA,1561085,1050263
1991,UTTAR PRADESH,79454881,39126801
1991,WEST BENGAL,41392460,31761339
1996,ANDAMAN & NICOBAR ISLANDS,211226,130918
1996,ANDHRA PRADESH,49501274,31196679
1996,ARUNACHAL PRADESH,544440,299680
1996,ASSAM,12587659,9880989
1996,BIHAR,58438317,34744087
1996,CHANDIGARH,450599,263189
1996,DADRA & NAGAR HAVELI,94909,73032
1996,DAMAN & DIU,70202,49606
1996,GOA,869093,489547
1996,GUJARAT,28529094,10248650
1996,HARYANA,11152856,7860863
1996,HIMACHAL PRADESH,3536517,2036441
1996,JAMMU & KASHMIR,4455709,2181594
1996,KARNATAKA,31810069,19155432
1996,KERALA,20673867,14701014
1996,LAKSHADWEEP,34111,30373
1996,MADHYA PRADESH,43927252,23748322
1996,MAHARASHTRA,55254414,28979021
1996,MANIPUR,1290990,968783
1996,MEGHALAYA,1092753,673372
1996,MIZORAM,408094,299593
1996,NAGALAND,874518,772402
1996,NCT OF DELHI,8058941,4079296
1996,Odisha,22419118,13277697
1996,PONDICHERRY,633635,477437
1996,PUNJAB,14489825,9019302
1996,RAJASTHAN,30388357,13188322
1996,SIKKIM,229160,177440
1996,TAMIL NADU,42488022,28438885
1996,TRIPURA,1647908,1303348
1996,UTTAR PRADESH,100826305,46885634
1996,WEST BENGAL,45583054,37677142
1998,ANDAMAN & NICOBAR ISLANDS,232013,147698
1998,ANDHRA PRADESH,49133135,32425649
1998,ARUNACHAL PRADESH,565621,334705
1998,ASSAM,14277806,8717775
1998,BIHAR,58766580,37963068
1998,CHANDIGARH,531146,285149
1998,DADRA & NAGAR HAVELI,95832,74205
1998,DAMAN & DIU,71934,52389
1998,GOA,880746,538664
1998,GUJARAT,28770306,17062837
1998,HARYANA,11086895,7649088
1998,HIMACHAL PRADESH,3628864,2407613
1998,JAMMU & KASHMIR,5022782,2220371
1998,KARNATAKA,33098338,21488648
1998,KERALA,21188712,14972844
1998,LAKSHADWEEP,36738,31264
1998,MADHYA PRADESH,44607368,27541607
1998,MAHARASHTRA,56205250,32096449
1998,MANIPUR,1330209,755960
1998,MEGHALAYA,1157494,860890
1998,MIZORAM,442457,307767
1998,NAGALAND,926569,420714
1998,NCT OF DELHI,8297622,4255606
1998,Odisha,23393600,13574771
1998,PONDICHERRY,665486,417786
1998,PUNJAB,15344540,9217254
1998,RAJASTHAN,29751400,17927159
1998,SIKKIM,236494,158787
1998,TAMIL NADU,45577788,26410702
1998,TRIPURA,1727463,1396760
1998,UTTAR PRADESH,101982480,56593465
1998,WEST BENGAL,46846524,37134095
1999,ANDAMAN & NICOBAR ISLANDS,247384,147102
1999,ANDHRA PRADESH,49654389,34332073
1999,ARUNACHAL PRADESH,611572,441231
1999,ASSAM,14290673,10182919
1999,BIHAR,58788098,36143272
1999,CHANDIGARH,585006,282879
1999,DADRA & NAGAR HAVELI,98376,73507
1999,DAMAN & DIU,72216,51811
1999,GOA,908849,409944
1999,GUJARAT,29512402,13878611
1999,HARYANA,11038955,7029964
1999,HIMACHAL PRADESH,3786479,2149816
1999,JAMMU & KASHMIR,5030094,1626945
1999,KARNATAKA,34284098,23168337
1999,KERALA,22058901,15482676
1999,LAKSHADWEEP,37619,30174
1999,MADHYA PRADESH,46915473,25746824
1999,MAHARASHTRA,56853196,34660007
1999,MANIPUR,1372339,901242
1999,MEGHALAYA,1178250,661657
1999,MIZORAM,449406,293513
1999,NAGALAND,955914,728843
1999,NCT OF DELHI,8712530,3793697
1999,Odisha,24187490,13456534
1999,PONDICHERRY,701990,444174
1999,PUNJAB,15717304,8819200
1999,RAJASTHAN,31106488,16754016
1999,SIKKIM,255377,208670
1999,TAMIL NADU,47733664,27676543
1999,TRIPURA,1796055,1223784
1999,UTTAR PRADESH,102946404,55107957
1999,WEST BENGAL,47649856,35761182
2004,ANDAMAN & NICOBAR ISLANDS,241645,153841
2004,ANDHRA PRADESH,51146342,35776275
2004,ARUNACHAL PRADESH,684034,385446
2004,ASSAM,15014874,10377354
2004,BIHAR,50559672,29332306
2004,CHANDIGARH,527684,269849
2004,CHHATTISGARH,13719442,7146189
2004,DADRA & NAGAR HAVELI,122681,84703
2004,DAMAN & DIU,79232,55591
2004,GOA,941167,553105
2004,GUJARAT,33675062,15213501
2004,HARYANA,12320557,8097064
2004,HIMACHAL PRADESH,4181995,2497149
2004,JAMMU & KASHMIR,6368115,2241729
2004,JHARKHAND,16812339,9363363
2004,KARNATAKA,38592095,25139122
2004,KERALA,21125473,15093960
2004,LAKSHADWEEP,39033,31820
2004,MADHYA PRADESH,38390101,18463451
2004,MAHARASHTRA,63012208,34263317
2004,MANIPUR,1536510,1035696
2004,MEGHALAYA,1289374,679321
2004,MIZORAM,549959,349799
2004,NAGALAND,1041433,955690
2004,NCT OF DELHI,8763475,4126443
2004,Odisha,25651989,16945092
2004,PONDICHERRY,636667,484336
2004,PUNJAB,16615399,10233165
2004,RAJASTHAN,34712385,17346549
2004,SIKKIM,281937,219769
2004,TAMIL NADU,47252271,28732954
