sl,year,statename,pcname,candidate,sex,party,total,overpolled,votesv,electors,polled,pollperc,rank,win,alliance
6,1991,ANDHRA PRADESH,SRIKAKULAM,VISWANDHAM KANITHI,M,INC,235641,42.60%,,860855,568263,66.01%,1,1,INC
7,1991,ANDHRA PRADESH,SRIKAKULAM,APPAYYADORA HANUMANTHLI,M,TDP,208977,37.78%,,860855,568263,66.01%,2,0,OTHERS
8,1991,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU YERRANNAIDU,M,IND,83292,15.06%,,860855,568263,66.01%,3,0,OTHERS
9,1991,ANDHRA PRADESH,SRIKAKULAM,ATTADA APPALANAIDU,M,BJP,10823,1.96%,,860855,568263,66.01%,4,0,BJP
10,1991,ANDHRA PRADESH,SRIKAKULAM,ATLA APPOJAMMA (W),F,IND,5794,1.05%,,860855,568263,66.01%,5,0,OTHERS
11,1991,ANDHRA PRADESH,SRIKAKULAM,KINJARAPU RAMAMOHANNAIDU,M,IND,5022,0.91%,,860855,568263,66.01%,6,0,OTHERS
12,1991,ANDHRA PRADESH,SRIKAKULAM,LABHALA LOKESHWARA RAO,M,JP,2818,0.51%,,860855,568263,66.01%,7,0,OTHERS
13,1991,ANDHRA PRADESH,SRIKAKULAM,TARA SURYANARAYANA,M,IND,762,0.14%,,860855,568263,66.01%,8,0,OTHERS
16,1991,ANDHRA PRADESH,PARVATHIPURAM (ST),VIJAYARAMARAJU SATRUCHARLA,M,INC,279415,53.01%,,839641,374131,44.56%,1,1,INC
17,1991,ANDHRA PRADESH,PARVATHIPURAM (ST),KISHORE CHANDRA SURYANARAYANADEO VIRICHERLA,M,ICS(SCS),229903,43.61%,,839641,374131,44.56%,2,0,OTHERS
18,1991,ANDHRA PRADESH,PARVATHIPURAM (ST),ARIKA GUMPASWAMMY,M,IND,12702,2.41%,,839641,374131,44.56%,3,0,OTHERS
19,1991,ANDHRA PRADESH,PARVATHIPURAM (ST),AYODHYA NIMMAKA,M,IND,5105,0.97%,,839641,374131,44.56%,4,0,OTHERS
22,1991,ANDHRA PRADESH,BOBBILI,ANANDA GAJAPATHI RAJU POOSAPATHI,M,INC,280335,49.59%,,863311,583131,67.55%,1,1,INC
23,1991,ANDHRA PRADESH,BOBBILI,KEMBURU RAMA MOHANA RAO,M,TDP,252211,44.62%,,863311,583131,67.55%,2,0,OTHERS
24,1991,ANDHRA PRADESH,BOBBILI,PAKA RAJA RAO,M,BJP,14745,2.61%,,863311,583131,67.55%,3,0,BJP
25,1991,ANDHRA PRADESH,BOBBILI,GOTTAPU APPALA NAIDU,M,IND,10965,1.94%,,863311,583131,67.55%,4,0,OTHERS
26,1991,ANDHRA PRADESH,BOBBILI,BOTCHA RAMULU,M,IND,3028,0.54%,,852106,469129,55.06%,5,0,OTHERS
27,1991,ANDHRA PRADESH,BOBBILI,PABBINEEDU VENKATESWARA RAO,M,IND,1350,0.24%,,852106,469129,55.06%,6,0,OTHERS
28,1991,ANDHRA PRADESH,BOBBILI,APPARAO GUDIVADA,M,IND,1173,0.21%,,852106,469129,55.06%,7,0,OTHERS
29,1991,ANDHRA PRADESH,BOBBILI,VENKATARAO MESSALA,M,IND,891,0.16%,,852106,469129,55.06%,8,0,OTHERS
30,1991,ANDHRA PRADESH,BOBBILI,SOMU SREENIVASA RAO,M,IND,591,0.10%,,852106,469129,55.06%,9,0,OTHERS
33,1991,ANDHRA PRADESH,VISAKHAPATNAM,MVVS MURTHI,M,TDP,289793,45.82%,,1081726,649981,60.09%,1,1,OTHERS
34,1991,ANDHRA PRADESH,VISAKHAPATNAM,UMA GAJAPATHIRAJU (W),F,INC,284655,45.00%,,1081726,649981,60.09%,2,0,INC
35,1991,ANDHRA PRADESH,VISAKHAPATNAM,CHALAPATHI RAO PV,M,BJP,39731,6.28%,,1081726,649981,60.09%,3,0,BJP
36,1991,ANDHRA PRADESH,VISAKHAPATNAM,GOLLAKOTI VISHNU MURTHY,M,IND,6248,0.99%,,1081726,649981,60.09%,4,0,OTHERS
37,1991,ANDHRA PRADESH,VISAKHAPATNAM,MALLA SATTANARAYANA,M,JP,2417,0.38%,,1081726,649981,60.09%,5,0,OTHERS
38,1991,ANDHRA PRADESH,VISAKHAPATNAM,BHEEMARASETTI VISWANATHAM,M,BSP,2173,0.34%,,1081726,649981,60.09%,6,0,OTHERS
39,1991,ANDHRA PRADESH,VISAKHAPATNAM,MAMIDI SOMINAIDU,M,IND,1832,0.29%,,1081726,649981,60.09%,7,0,OTHERS
40,1991,ANDHRA PRADESH,VISAKHAPATNAM,JOGA VENKATARAMANA YADAV,M,IND,1714,0.27%,,1081726,649981,60.09%,8,0,OTHERS
41,1991,ANDHRA PRADESH,VISAKHAPATNAM,PARISA VENKATANARAYANA,M,IND,1221,0.19%,,1081726,649981,60.09%,9,0,OTHERS
42,1991,ANDHRA PRADESH,VISAKHAPATNAM,PALURI SESHUMAMBA (W),F,IND,1167,0.18%,,1081726,649981,60.09%,10,0,OTHERS
43,1991,ANDHRA PRADESH,VISAKHAPATNAM,NV RAJU,M,IND,812,0.13%,,1081726,649981,60.09%,11,0,OTHERS
44,1991,ANDHRA PRADESH,VISAKHAPATNAM,MANTHENA KRISHAN MURTHYRAJU,M,IND,739,0.12%,,1081726,649981,60.09%,12,0,OTHERS
47,1991,ANDHRA PRADESH,BHADRACHALAM (ST),KARREDDULA KAMALAKUMARI (W),F,INC,238956,48.23%,,945933,519063,54.87%,1,1,INC
53,1991,ANDHRA PRADESH,BHADRACHALAM (ST),RAMAIAH SODE,M,CPI,194785,39.31%,,945933,519063,54.87%,2,0,OTHERS
54,1991,ANDHRA PRADESH,BHADRACHALAM (ST),GORLE DHANUNJAYA RAJU,M,BJP,19428,3.92%,,975048,343529,35.23%,3,0,BJP
55,1991,ANDHRA PRADESH,BHADRACHALAM (ST),BONKU PRABHAKARA RAO,M,IND,16847,3.40%,,975048,343529,35.23%,4,0,OTHERS
56,1991,ANDHRA PRADESH,BHADRACHALAM (ST),KURSAM ACHAIAH,M,IND,9122,1.84%,,975048,343529,35.23%,5,0,OTHERS
57,1991,ANDHRA PRADESH,BHADRACHALAM (ST),BAPANNA DORA,M,BSP,6731,1.36%,,975048,343529,35.23%,6,0,OTHERS
58,1991,ANDHRA PRADESH,BHADRACHALAM (ST),BAKURU KONDABABU,M,IND,3812,0.77%,,975048,343529,35.23%,7,0,OTHERS
59,1991,ANDHRA PRADESH,BHADRACHALAM (ST),JANSHI (W),F,IND,3185,0.64%,,945933,519063,54.87%,8,0,OTHERS
60,1991,ANDHRA PRADESH,BHADRACHALAM (ST),VANI RAMANA RAO P (W),F,JP,2604,0.53%,,945933,519063,54.87%,9,0,OTHERS
63,1991,ANDHRA PRADESH,ANAKAPALLI,KONATHALA RAMAKRISHNA,M,INC,261311,44.67%,,894732,603706,67.47%,1,1,INC
64,1991,ANDHRA PRADESH,ANAKAPALLI,APPALANARASIMHAM P,M,TDP,250153,42.76%,,894732,603706,67.47%,2,0,OTHERS
65,1991,ANDHRA PRADESH,ANAKAPALLI,SANYASINAIDU VEESAM,M,BJP,45731,7.82%,,894732,603706,67.47%,3,0,BJP
66,1991,ANDHRA PRADESH,ANAKAPALLI,YELLAPPU SUBRAMANYAM,M,IND,14205,2.43%,,911580,457804,50.22%,4,0,OTHERS
67,1991,ANDHRA PRADESH,ANAKAPALLI,APPARAO KIRLA,M,JP,5441,0.93%,,911580,457804,50.22%,5,0,OTHERS
