id,year,statename,pcname,candidate,sex,age,PC Type,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance
1,1999,ANDHRA PRADESH,Srikakulam,Yerrannaidu Kinjarapu,M,,GEN,,TDP,,,,373851,37.95%,55.27%,985232,1,676413,1,0,NDA
2,1999,ANDHRA PRADESH,Srikakulam,Kanithi Viswanadaham,M,,GEN,,INC,,,,276969,28.11%,40.95%,985232,2,676413,0,1,CONGRESS
3,1999,ANDHRA PRADESH,Srikakulam,Appala Naidu Golive,M,,GEN,,AJBP,,,,7280,0.74%,1.08%,985232,3,676413,0,0,OTHERS
4,1999,ANDHRA PRADESH,Parvathipuram,Dadichiluka Veera Gouri Sankara Rao,M,,ST,,TDP,,,,304000,33.35%,47.72%,911609,1,637051,1,0,NDA
5,1999,ANDHRA PRADESH,Parvathipuram,Kishore Chandra Suryanarayana Deo Vyricherla,M,,ST,,INC,,,,290719,31.89%,45.64%,911609,2,637051,0,1,CONGRESS
6,1999,ANDHRA PRADESH,Parvathipuram,Arika Gumpa Swamy,M,,ST,,IND,,,,9750,1.07%,1.53%,911609,3,637051,0,0,OTHERS
7,1999,ANDHRA PRADESH,Parvathipuram,Vooyaka Mutyalu,M,,ST,,IND,,,,9172,1.01%,1.44%,911609,4,637051,0,0,OTHERS
8,1999,ANDHRA PRADESH,Bobbili,Botcha Satyanarayana,M,,GEN,,INC,,,,339768,35.77%,47.41%,949773,1,716703,1,0,CONGRESS
9,1999,ANDHRA PRADESH,Bobbili,Aruna Padala,F,,GEN,,TDP,,,,335947,35.37%,46.87%,949773,2,716703,0,1,NDA
10,1999,ANDHRA PRADESH,Bobbili,Manjula  Dasari,F,,GEN,,AJBP,,,,16425,1.73%,2.29%,949773,3,716703,0,0,OTHERS
11,1999,ANDHRA PRADESH,Bobbili,Enumula Appa Rao,M,,GEN,,IND,,,,2010,0.21%,0.28%,949773,4,716703,0,0,OTHERS
12,1999,ANDHRA PRADESH,Visakhapatnam,M.V.V.S.Murthy,M,,GEN,,TDP,,,,442036,31.12%,48.31%,1420606,1,914936,1,0,NDA
13,1999,ANDHRA PRADESH,Visakhapatnam,T.Subbarami Reddy,M,,GEN,,INC,,,,403117,28.38%,44.06%,1420606,2,914936,0,1,CONGRESS
14,1999,ANDHRA PRADESH,Visakhapatnam,Ch.Narsinga Rao,M,,GEN,,CPM,,,,26610,1.87%,2.91%,1420606,3,914936,0,0,OTHERS
15,1999,ANDHRA PRADESH,Visakhapatnam,Navish Yadav(T.N.V.Murthi B.E.),M,,GEN,,SP,,,,9377,0.66%,1.02%,1420606,4,914936,0,0,OTHERS
16,1999,ANDHRA PRADESH,Visakhapatnam,Appa Rao Gudivada,M,,GEN,,IND,,,,2263,0.16%,0.25%,1420606,5,914936,0,0,OTHERS
17,1999,ANDHRA PRADESH,Visakhapatnam,Nanduri Pani,M,,GEN,,IND,,,,1458,0.10%,0.16%,1420606,6,914936,0,0,OTHERS
18,1999,ANDHRA PRADESH,Bhadrachalam,Dumpa Mary Vijaya Kumari,F,,ST,,TDP,,,,293593,27.05%,38.64%,1085536,1,759883,1,0,NDA
