id,year,statename,pcname,candidate,sex,age,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance,created_at,updated_at,,
1,2014,Andhra Pradesh,Adilabad ,GODAM NAGESH,M,49,ST,TRS,Car,425762,5085,430847,31.08,40.82,1386282,1,1045839,1,0,OTHERS,,,,
2,2014,Andhra Pradesh,Adilabad ,NARESH,M,37,ST,INC,Hand,257994,1563,259557,18.72,24.59,1386282,2,1045839,0,1,UPA,,,,
3,2014,Andhra Pradesh,Adilabad ,RAMESH RATHOD,M,48,ST,TDP,Bicycle,182879,1319,184198,13.29,17.45,1386282,3,1045839,0,0,NDA,,,,
4,2014,Andhra Pradesh,Adilabad ,RATHOD SADASHIV,M,55,ST,BSP,Elephant,94363,57,94420,6.81,8.95,1386282,4,1045839,0,0,OTHERS,,,,
5,2014,Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,41032,2.96,3.89,1386282,5,1045839,0,0,OTHERS,,,,
6,2014,Andhra Pradesh,Adilabad ,PAWAR KRISHNA,M,33,ST,IND,Bat,5051,4,5055,0.36,0.48,1386282,8,1045839,0,0,OTHERS,,,,
7,2014,Andhra Pradesh,Adilabad ,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,4787,0.35,0.45,1386282,9,1045839,0,0,OTHERS,,,,
8,2014,Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,8859,0.64,0.84,1386282,7,1045839,0,0,OTHERS,,,,
9,2014,Andhra Pradesh,Adilabad ,None of the Above,,,,NOTA,NOTA,17021,63,17084,1.23,1.62,1386282,6,1045839,0,0,OTHERS,,,,
10,2014,Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,M,42,SC,TDP,Bicycle,63174,160,63334,4.44,6.18,1425355,3,1022184,0,0,NDA,,,,
11,2014,Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,M,37,SC,BSP,Elephant,9430,19,9449,0.66,0.92,1425355,5,1022184,0,0,OTHERS,,,,
12,2014,Andhra Pradesh,Peddapalle ,BALKA SUMAN,M,31,SC,TRS,Car,563214,2282,565496,39.67,55.16,1425355,1,1022184,1,0,OTHERS,,,,
13,2014,Andhra Pradesh,Peddapalle ,G. VIVEKANAND,M,56,SC,INC,Hand,273441,897,274338,19.25,26.76,1425355,2,1022184,0,1,UPA,,,,
14,2014,Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,M,44,SC,PPOI,Television,9288,2,9290,0.65,0.91,1425355,6,1022184,0,0,OTHERS,,,,
15,2014,Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,M,37,SC,RPI,Sewing Machine,8609,0,8609,0.60,0.84,1425355,8,1022184,0,0,OTHERS,,,,
16,2014,Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,M,58,SC,BCUF,Chappals,2245,0,2245,0.16,0.22,1425355,18,1022184,0,0,OTHERS,,,,
17,2014,Andhra Pradesh,Peddapalle ,J.V. RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,3020,0.21,0.29,1425355,14,1022184,0,0,OTHERS,,,,
18,2014,Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,M,42,SC,MaSP,Ring,3861,5,3866,0.27,0.38,1425355,11,1022184,0,0,OTHERS,,,,
19,2014,Andhra Pradesh,Peddapalle ,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,45977,3.23,4.48,1425355,4,1022184,0,0,OTHERS,,,,
20,2014,Andhra Pradesh,Peddapalle ,KAMILLA JAYA RAO,M,43,SC,IND,Scissors,2741,1,2742,0.19,0.27,1425355,15,1022184,0,0,OTHERS,,,,
21,2014,Andhra Pradesh,Peddapalle ,GADDALA VINAY KUMAR,M,65,SC,IND,Ceiling Fan,3263,3,3266,0.23,0.32,1425355,13,1022184,0,0,OTHERS,,,,
