statename,year,distname,lcname,category,candidate,sex,age,party,total,rank,electors,polled,pollperc,win,alliance
Jharkhand,2005,Sahebganj,Rajmahal,GEN,THOMAS HANSDA,M,54,INC,36472,1,225100,141779,62.98,1,INC
Jharkhand,2005,Sahebganj,Rajmahal,GEN,ARUN MANDAL,M,52,IND,25296,2,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,KAMAL KRISHNA BHAGAT,M,47,BJP,21639,3,225100,141779,62.98,0,BJP
Jharkhand,2005,Sahebganj,Rajmahal,GEN,MOINUDDIN SHEKH,M,38,CPM,19805,4,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,RAMCHANDRA KESHRI,M,64,RJD,11254,5,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,DHRUV BHAGAT,M,53,NCP,4251,6,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,MD. TAJUDDIN,M,31,IND,2881,7,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,PRADEEP KUMAR VERMA,M,34,AJSU,2449,8,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,RAJENDRA PRASAD GUPTA,M,47,IND,2354,9,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,KIRAN SHANKAR SINHA,M,48,IND,1852,10,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,ANUP KUMAR RANKRAJ,M,35,LJP,1583,11,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,BHOLA MAHATO,M,30,IND,1375,12,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,KRISHNA PANDEY,M,29,BSP,1142,13,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,SIDHESHWAR MANDAL,M,49,IND,1092,14,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,AKIL HUSAIN ANSARI,M,40,IND,1087,15,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,BINOD KUMAR YADAV,M,26,IND,1070,16,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,ANISUR RAHMAN,M,49,MC,1048,17,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,DEOBRAT GUPTA,M,44,IND,870,18,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,DINESH PANDIT,M,32,IND,839,19,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,KAMLA KANT MANDAL,M,29,SHS,800,20,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,OM PRAKASH SAH,M,40,IND,730,21,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,CHANDRA DEO BAITHA,M,66,SAP,698,22,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,AMIN KHAN,M,57,SP,601,23,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Rajmahal,GEN,DEBRAJ SHARMA SARKAR,M,41,IND,591,24,225100,141779,62.98,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,TALA MARANDI,M,42,BJP,44546,1,192282,112106,58.3,1,BJP
Jharkhand,2005,Sahebganj,Borio,ST,LOBIN HEMBRUM,M,48,JMM,38227,2,192282,112106,58.3,0,JMM
Jharkhand,2005,Sahebganj,Borio,ST,KHUDU MURMU,M,45,IND,7083,3,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,MAHESH MALTO,M,36,NCP,4295,4,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,SUNIL HANSDAK,M,31,IND,3517,5,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,NAZARATI SOREN,M,57,IND,3496,6,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,KASRAI SOREN,M,42,JDP,1947,7,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,GYANENDRA MURMU,M,34,IND,1484,8,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,BHAGWAT SOREN,M,68,LJP,1371,9,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,LUKAS HANSDA,M,36,IND,1302,10,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,YOGANAND SOREN,M,32,IND,1244,11,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,SAILU KUMARI MALTI ALIAS MALTO,M,28,SHS,1170,12,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,ELIYAS MURMU,M,50,IND,925,13,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,MANDAKINI MURMU,M,42,IND,818,14,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Borio,ST,BENJAMIN MURMU,M,61,IND,681,15,192282,112106,58.3,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,THOMAS SOREN,M,41,JMM,42332,1,162489,92190,56.74,1,JMM
Jharkhand,2005,Sahebganj,Barhait,ST,SIMON MALTO,M,36,BJP,28593,2,162489,92190,56.74,0,BJP
Jharkhand,2005,Sahebganj,Barhait,ST,SAMUEL MURMU,M,39,IND,3893,3,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,RAM CHARAN KISKU,M,49,CPI,2741,4,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,CHHOTO HANSDA,M,42,IND,2221,5,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,JARMAN BASKI,M,36,IND,2111,6,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,MARY BASKI,F,43,BSP,2103,7,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,LOWRENCE HANSDA,M,56,IND,1740,8,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,CHURKA MURMU,M,62,SHS,1396,9,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,RAJESH BASKI,M,35,IND,1164,10,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,MARIANUS MARANDI,M,36,IND,1063,11,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,MASIH SOREN,M,71,JKPP,1007,12,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,IGNATIUS HANSDAK,M,44,IND,688,13,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,BABLU SOREN,M,43,IND,621,14,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Sahebganj,Barhait,ST,BARNWAS MALTO,M,67,IND,517,15,162489,92190,56.74,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,SUSHILA HANSDAK,M,44,JMM,29661,1,152751,91878,60.15,1,JMM
Jharkhand,2005,Pakur,Litipara,ST,SOM MARANDI,M,41,BJP,22464,2,152751,91878,60.15,0,BJP
Jharkhand,2005,Pakur,Litipara,ST,ANIL MURMU,M,34,IND,22116,3,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,JITENDRA MALTO,M,39,IND,4136,4,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,SHIVA CHARAN MALTO,M,34,IND,3637,5,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,JANTU SOREN,M,27,JDP,2496,6,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,STEFAN MURMU,M,27,IND,2280,7,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,KALIDAS MALTO,M,54,BSP,1576,8,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,CHARAN MURMU,M,31,SHS,1254,9,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,DILIP HEMBROM,M,27,AJSU,1150,10,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Litipara,ST,ROSEMARY HEMBROM,M,32,SP,1107,11,152751,91878,60.15,0,OTHERS
Jharkhand,2005,Pakur,Pakaur,GEN,ALAMGIR ALAM,M,52,INC,71736,1,220945,149146,67.5,1,INC
Jharkhand,2005,Pakur,Pakaur,GEN,BENI PRASAD GUPTA,M,64,BJP,46000,2,220945,149146,67.5,0,BJP
Jharkhand,2005,Pakur,Pakaur,GEN,MOHAMMAD IQBAL,M,53,CPM,14773,3,220945,149146,67.5,0,OTHERS
Jharkhand,2005,Pakur,Pakaur,GEN,SHAHNAZ BEGUM,M,34,SP,7030,4,220945,149146,67.5,0,OTHERS
