year,statename,distname,lcname,category,candidate,sex,age,party,total,rank,electors,polled,pollperc,win,alliance
2009,Jharkhand,Sahebganj,Rajmahal,GEN,ARUN MANDAL,M,55,BJP,51277,1,233547,136119,58.28,1,BJP
2009,Jharkhand,Sahebganj,Rajmahal,GEN,MD. TAJUDDIN,M,36,JMM,40874,2,233547,136119,58.28,0,JMM
2009,Jharkhand,Sahebganj,Rajmahal,GEN,THOMAS HANSDA,M,58,INC,14782,3,233547,136119,58.28,0,INC
2009,Jharkhand,Sahebganj,Rajmahal,GEN,NAZRUL ISLAM,M,48,AITC,7017,4,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,MD. MOINUDDIN SHEKH,M,43,CPM,6065,5,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,DHRUV BHAGAT,M,58,LJP,3811,6,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,BINOD KUMAR YADAV,M,31,IND,3224,7,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,MUKHTAR HUSSAIN,M,48,RSP,2568,8,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,VIBHASH KUMAR SHAH,M,29,AJSUP,2030,9,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,IDRISH,M,40,BSP,1800,10,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,ABHIMANYU MANDAL,M,38,SHS,1434,11,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Rajmahal,GEN,DHARMENDRA KUMAR SINGH,M,28,IND,1236,12,233547,136119,58.28,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,LOBIN HEMBRAM,M,54,JMM,37586,1,203182,113973,56.09,1,JMM
2009,Jharkhand,Sahebganj,Borio,ST,TALA MARANDI,M,46,BJP,28546,2,203182,113973,56.09,0,BJP
2009,Jharkhand,Sahebganj,Borio,ST,SURYA NRAYAN HANSDA,M,30,JVM,25835,3,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,RAMA PAHARIA,M,34,IND,3723,4,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,SUNITA HANSDA,F,28,IND,3114,5,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,PRABHAWATI BASKEY,F,36,CPM,3111,6,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,RAMKRISHNA SOREN,M,38,IND,2109,7,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,PAULUS MURMU,M,32,AJSUP,1944,8,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,RODRICK HEMBROM,M,43,IND,1337,9,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,MAHESH MALTO,M,41,RSP,1276,10,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,KHALIFA KISKU,M,59,IND,1212,11,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,RAPAZ CHANDA KISKU,M,65,IND,1140,12,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,RAYMOND MURMU,M,31,BSP,1069,13,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,MANDAKINI MURMU,F,44,LJP,995,14,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Borio,ST,MANOJ KUMAR GOND,M,32,IND,976,15,203182,113973,56.09,0,OTHERS
2009,Jharkhand,Sahebganj,Barhait,ST,HEMLAL MURMU,M,54,JMM,40621,1,167515,101448,60.56,1,JMM
2009,Jharkhand,Sahebganj,Barhait,ST,VIJAY HANSDAK,M,28,IND,20303,2,167515,101448,60.56,0,OTHERS
2009,Jharkhand,Sahebganj,Barhait,ST,SIMON MALTO,M,38,IND,14163,3,167515,101448,60.56,0,OTHERS
2009,Jharkhand,Sahebganj,Barhait,ST,MANOJ MURMU,M,36,BJP,9490,4,167515,101448,60.56,0,BJP
2009,Jharkhand,Sahebganj,Barhait,ST,THOMAS SOREN,M,46,IND,5278,5,167515,101448,60.56,0,OTHERS
2009,Jharkhand,Sahebganj,Barhait,ST,MICHAEL MARANDI,M,32,JKP,3109,6,167515,101448,60.56,0,OTHERS
