year,statename,distname,lcname,category,candidate,sex,age,party,total,rank,win,alliance,electors,polled,pollperc
2014,Jharkhand,Sahebganj,Rajmahal,GEN,ANANT KUMAR OJHA,M,41,BJP,77481,1,1,BJP,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,MD. TAJUDDIN,M,41,JMM,76779,2,0,JMM,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,BAJRANGI PRASAD YADAV,M,43,IND,18866,3,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,MD. RAFIKUL ALAM,M,29,CPM,5478,4,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,ARUN MANDAL,M,60,RJD,5175,5,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,None of the Above,NULL,NULL,NOTA,2268,6,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,SUNIL KUMAR SINHA,M,47,JD(U),2125,7,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,KRISHNA MAHTO,F,44,JVM,1617,8,0,JVM,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,BINOD KUMAR YADAV,M,36,IND,1608,9,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,SHANKAR MANDAL,M,39,SHS,1565,10,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,SAIYAD ARSHAD NASAR,M,41,SP,900,11,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,SATANAND MANDAL,M,64,BMUP,667,12,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Rajmahal,GEN,ARJUN KUMAR KARMKAR,M,26,NCP,576,13,0,OTHERS,269959,195113,72.28
2014,Jharkhand,Sahebganj,Borio,ST,TALA MARANDI,M,52,BJP,57565,1,1,BJP,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,TALA MARANDI,M,52,BJP,57565,2,0,BJP,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,LOBIN HEMBROM,M,59,JMM,56853,3,0,JMM,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,LOBIN HEMBROM,M,59,JMM,56853,4,0,JMM,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,SURYA NARAYAN HANSDA,M,33,JVM,26823,5,0,JVM,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,SURYA NARAYAN HANSDA,M,33,JVM,26823,6,0,JVM,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,SONA RAM MADAIYA,M,53,CPI,3731,7,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,SONA RAM MADAIYA,M,53,CPI,3731,8,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,None of the Above,NULL,NULL,NOTA,3182,9,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,None of the Above,NULL,NULL,NOTA,3182,10,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,MANJU SNEHLATA HEMBROM,F,57,INC,2673,11,0,INC,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,MANJU SNEHLATA HEMBROM,F,57,INC,2673,12,0,INC,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,KRISHNA SINGH,M,43,IUML,1528,13,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,KRISHNA SINGH,M,43,IUML,1528,14,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,ELIAS MURMU,M,52,IND,1312,15,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,ELIAS MURMU,M,52,IND,1312,16,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,RAMA PAHADIYA,M,38,AAMP,1282,17,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,RAMA PAHADIYA,M,38,AAMP,1282,18,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,SAURAV KUMAR MALTO,M,27,IND,1174,19,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,SAURAV KUMAR MALTO,M,27,IND,1174,20,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,SONOTI SOREN,F,28,SAP,1042,21,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,SONOTI SOREN,F,28,SAP,1042,22,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Borio,ST,VIOLET MIRU MURMU,F,43,BMUP,1004,23,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Godda,Borio,ST,VIOLET MIRU MURMU,F,43,BMUP,1004,24,0,OTHERS,233878,158698,67.86
2014,Jharkhand,Sahebganj,Barhait,ST,HEMANT SOREN,M,39,JMM,62515,1,1,JMM,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,HEMANT SOREN,M,39,JMM,62515,2,0,JMM,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,HEMLAL MURMU,M,59,BJP,38428,3,0,BJP,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,HEMLAL MURMU,M,59,BJP,38428,4,0,BJP,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,SIMON MALTO,M,45,JVM,14161,5,0,JVM,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,SIMON MALTO,M,45,JVM,14161,6,0,JVM,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,MONIKA KISKU,F,27,INC,7151,7,0,INC,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,MONIKA KISKU,F,27,INC,7151,8,0,INC,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,SANATAN MURMU,M,42,CPM,3555,9,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,SANATAN MURMU,M,42,CPM,3555,10,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,None of the Above,NULL,NULL,NOTA,2462,11,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,None of the Above,NULL,NULL,NOTA,2462,12,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,MANGAL HANSDA,M,84,IND,1274,13,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,MANGAL HANSDA,M,84,IND,1274,14,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,CHHOTO HANSDA,M,51,IND,1270,15,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,CHHOTO HANSDA,M,51,IND,1270,16,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,KALDA TUDU,M,31,BMUP,1237,17,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,KALDA TUDU,M,31,BMUP,1237,18,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,NILAN SOREN,M,40,IND,1187,19,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,NILAN SOREN,M,40,IND,1187,20,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,BUDAN HEMBRAM,M,29,SHS,1088,21,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,BUDAN HEMBRAM,M,29,SHS,1088,22,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Sahebganj,Barhait,ST,DILIP KUMAR MARAIYA,M,44,LJVM,1054,23,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Godda,Barhait,ST,DILIP KUMAR MARAIYA,M,44,LJVM,1054,24,0,OTHERS,185700,135382,72.9
2014,Jharkhand,Pakur,Littipara,ST,DR. ANIL MURMU,M,43,JMM,67194,1,1,JMM,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,DR. ANIL MURMU,M,43,JMM,67194,2,0,JMM,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,SIMON MARANDI,M,72,BJP,42111,3,0,BJP,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,SIMON MARANDI,M,72,BJP,42111,4,0,BJP,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,SHIV CHARAN MALTO,M,42,INC,12434,5,0,INC,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,SHIV CHARAN MALTO,M,42,INC,12434,6,0,INC,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,DANIEL KISKU,M,39,JVM,8771,7,0,JVM,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,DANIEL KISKU,M,39,JVM,8771,8,0,JVM,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,DEVENDRA DEHARI,M,44,CPM,5491,9,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,DEVENDRA DEHARI,M,44,CPM,5491,10,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,None of the Above,NULL,NULL,NOTA,3460,11,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,None of the Above,NULL,NULL,NOTA,3460,12,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,WAKIL BESRA,M,42,IND,2976,13,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,WAKIL BESRA,M,42,IND,2976,14,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,GUPIN HEMBROM,M,32,IND,2426,15,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,GUPIN HEMBROM,M,32,IND,2426,16,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Pakur,Littipara,ST,VIVEK MALTO,M,28,BSP,1441,17,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Dumka,Littipara,ST,VIVEK MALTO,M,28,BSP,1441,18,0,OTHERS,192609,146306,75.96
2014,Jharkhand,Sahebganj,Pakur,GEN,ALAMGIR ALAM,M,60,INC,83338,1,1,INC,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,ALAMGIR ALAM,M,60,INC,83338,2,0,INC,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,AKIL AKHTAR,M,49,JMM,65272,3,0,JMM,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,AKIL AKHTAR,M,49,JMM,65272,4,0,JMM,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,RANJIT KUMAR TIWARY,M,54,BJP,64479,5,0,BJP,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,RANJIT KUMAR TIWARY,M,54,BJP,64479,6,0,BJP,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,KRISHNA KANT MANDAL,M,60,CPM,5170,7,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,KRISHNA KANT MANDAL,M,60,CPM,5170,8,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,SHYAM CHAND MANDAL,M,56,IND,2952,9,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,SHYAM CHAND MANDAL,M,56,IND,2952,10,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,None of the Above,NULL,NULL,NOTA,2920,11,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,None of the Above,NULL,NULL,NOTA,2920,12,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,ASMANNARA KHATUN,F,47,JVM,2776,13,0,JVM,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,ASMANNARA KHATUN,F,47,JVM,2776,14,0,JVM,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,ANAND TURI,M,62,IND,1553,15,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,ANAND TURI,M,62,IND,1553,16,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,DIGAMBAR PRASAD SAHA,M,50,IND,1466,17,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,DIGAMBAR PRASAD SAHA,M,50,IND,1466,18,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,MD. ASRAFUL SHAIKH,M,32,AITC,1290,19,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,MD. ASRAFUL SHAIKH,M,32,AITC,1290,20,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,SHAMBHUNANDAN KUMAR,M,51,BSP,1164,21,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,SHAMBHUNANDAN KUMAR,M,51,BSP,1164,22,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,ALAMGIR ALAM,M,32,IND,684,23,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,ALAMGIR ALAM,M,32,IND,684,24,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,AKHILENDRA CHANDRA PANDEY,M,31,IND,658,25,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,AKHILENDRA CHANDRA PANDEY,M,31,IND,658,26,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,JAMIRUDIN SHEKH,M,48,SAP,564,27,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,JAMIRUDIN SHEKH,M,48,SAP,564,28,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,BENAZEER HASEENA,F,29,IUML,531,29,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,BENAZEER HASEENA,F,29,IUML,531,30,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Sahebganj,Pakur,GEN,PANCHANAN THAKUR,M,42,AIFB,524,31,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Pakur,GEN,PANCHANAN THAKUR,M,42,AIFB,524,32,0,OTHERS,291418,235344,80.76
2014,Jharkhand,Pakur,Maheshpur,ST,STEPHEN MARANDI,M,61,JMM,51866,1,1,JMM,201344,160839,79.88
2014,Jharkhand,Pakur,Maheshpur,ST,DEVIDHAN TUDU,M,43,BJP,45710,2,0,BJP,201344,160839,79.88
2014,Jharkhand,Pakur,Maheshpur,ST,MISTRY SOREN,M,45,JVM,31276,3,0,JVM,201344,160839,79.88
2014,Jharkhand,Pakur,Maheshpur,ST,GAMELINA SOREN,F,30,CPM,8798,4,0,OTHERS,201344,160839,79.88
2014,Jharkhand,Pakur,Maheshpur,ST,DEVILAL MURMU,M,43,INC,5814,5,0,INC,201344,160839,79.88
2014,Jharkhand,Pakur,Maheshpur,ST,DIJEN HEMBROM,M,39,IND,4782,6,0,OTHERS,201344,160839,79.88
2014,Jharkhand,Pakur,Maheshpur,ST,DAUD MARANDI,M,33,SP,3717,7,0,OTHERS,201344,160839,79.88
