Name_of_Prime_Minister,Date_of_sworn_in,Date_of_termination,Ruled_days,Party_concerned
Jawahar Lal Nehru,15-Aug-47,27-May-64,6130,INC
Gulzarilal Nanda,27-May-64,09-Jun-64,13,INC
Lal Bahadur Shastri,09-Jun-64,11-Jan-66,581,INC
Indira Gandhi,24-Jan-66,24-Mar-77,4077,INC
Morarji Desai,24-Mar-77,28-Jul-79,856,JP
Charan Singh,28-Jul-79,14-Jan-80,170,JP
Indira Gandhi,14-Jan-80,31-Oct-84,1752,INC
Rajiv Gandhi,31-Oct-84,02-Dec-89,1858,INC
V.P.Singh,02-Dec-89,10-Nov-90,343,JD
Chandra Shekhar,10-Nov-90,21-Jun-91,223,SJP
P.V.Narasimha Rao,21-Jun-91,16-May-96,1791,INC
Atal Bihari Vajpayee,16-May-96,01-Jun-96,16,BJP
H.D.Deve Gowda,01-Jun-96,21-Apr-97,324,JD
Inder Kumar Gujral,21-Apr-97,19-Mar-98,332,JD
Atal Bihari Vajpayee,19-Mar-98,22-May-04,2256,BJP
Manmohan Singh,22-May-04,06-May-14,3636,INC
Narendra Modi,26-May-14,16-Feb-19,1727,BJP
