year,statename,lcname,candidate,sex,age,category,party,general,postal,total,electors,polled,rank,win,alliance,
2011,Tamil Nadu,Gummidipoondi,ELUMALAI  S,M,40,GEN,IND,487,0,487,215443,179616,12,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,SRINIVASAN  D,M,45,SC,BSP,832,3,835,215443,179616,11,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,SHANMUGAM  P,M,30,GEN,IND,997,0,997,215443,179616,10,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,SUDHAKAR  M,M,28,GEN,RPI,1228,0,1228,215443,179616,9,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,RAJA  A,M,39,SC,IND,1411,0,1411,215443,179616,8,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,ASOKAN  G,M,51,SC,PB,1425,0,1425,215443,179616,7,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,VELU  N,M,36,GEN,IND,1462,0,1462,215443,179616,6,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,MUNIKRISHNAN  G,M,43,GEN,JMM,1835,1,1836,215443,179616,5,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,CHAKRAVARTHI SRIRAMAN B,M,36,GEN,BJP,1877,6,1883,215443,179616,4,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,SELVAKUMAR  R,M,27,SC,IND,1892,0,1892,215443,179616,3,0,OTHERS,
2011,Tamil Nadu,Gummidipoondi,SEKAR  K  N,M,40,GEN,PMK,68180,272,68452,215443,179616,2,0,DMK,
2011,Tamil Nadu,Gummidipoondi,SEKAR  C  H,M,31,GEN,DMDK,97660,48,97708,215443,179616,1,1,AIADMK,
2011,Tamil Nadu,Thiruvottiyur,"SELVARAJKUMAR, K.R.",M,37,GEN,IND,159,0,159,221495,164716,11,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"KUPPAN, D.",M,29,GEN,IND,164,0,164,221495,164716,10,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"KUPPAN, K.",M,45,GEN,IND,172,0,172,221495,164716,9,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"JOHNSON, S.",M,42,GEN,PB,197,0,197,221495,164716,8,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"TANIKACHALAM, B",M,31,GEN,IND,252,0,252,221495,164716,7,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"UDAIYAR, T.",M,61,GEN,JMM,343,0,343,221495,164716,6,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"SURESH, S.",M,30,GEN,BSP,464,0,464,221495,164716,5,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"PANDIYAN, S.",M,45,GEN,IND,649,0,649,221495,164716,4,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"VENKATAKRISHNAN, V.",M,48,GEN,BJP,1718,1,1719,221495,164716,3,0,OTHERS,
2011,Tamil Nadu,Thiruvottiyur,"SAMY, K.P.P.",M,48,GEN,DMK,66617,36,66653,221495,164716,2,0,DMK,
2011,Tamil Nadu,Thiruvottiyur,"KUPPAN, K.",M,56,GEN,AIADMK,93935,9,93944,221495,164716,1,1,AIADMK,
2011,Tamil Nadu,Modakkurichi,KANAGARAJ K,M,38,GEN,IND,529,0,529,187832,153092,11,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,DURAISAMY V.S,M,60,GEN,IND,540,0,540,187832,153092,10,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,MURUGESAN R,M,47,GEN,IND,602,0,602,187832,153092,9,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,VISWANATHAN M,M,50,SC,IND,721,0,721,187832,153092,8,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,GANESAN S,M,54,SC,IND,1088,0,1088,187832,153092,7,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,VEERAGOPAL R,M,37,SC,IND,1314,0,1314,187832,153092,6,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,GOVANAM THANGAVEL K.S,M,52,GEN,IND,1553,2,1555,187832,153092,5,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,DEVENDIRAN K,M,36,SC,BSP,1989,3,1992,187832,153092,4,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,KATHIRVEL T,M,37,GEN,BJP,8362,14,8376,187832,153092,3,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,PALANISAMI R.M,M,52,GEN,INC,47319,224,47543,187832,153092,2,0,DMK,
2011,Tamil Nadu,Modakkurichi,KITTUSAMY R.N,M,52,GEN,AIADMK,87627,78,87705,187832,153092,1,1,AIADMK,
2011,Tamil Nadu,Modakkurichi,SIVAKUMAR S,M,30,GEN,IND,296,0,296,187832,153092,14,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,KATHIRVEL K.K,M,63,GEN,IND,403,0,403,187832,153092,13,0,OTHERS,
2011,Tamil Nadu,Modakkurichi,THANGAVELU P.S,M,61,GEN,IND,428,0,428,187832,153092,12,0,OTHERS,
2011,Tamil Nadu,Dharapuram(SC),DORAISAMY.D,M,34,SC,IND,789,0,789,205145,162248,7,0,OTHERS,
2011,Tamil Nadu,Dharapuram(SC),SUNDRARASU.A,M,36,SC,IND,1159,0,1159,205145,162248,6,0,OTHERS,
2011,Tamil Nadu,Dharapuram(SC),ARUMUGAM.S,M,32,SC,BSP,1378,0,1378,205145,162248,5,0,OTHERS,
2011,Tamil Nadu,Dharapuram(SC),RAJESH.R,M,27,SC,IND,2882,0,2882,205145,162248,4,0,OTHERS,
2011,Tamil Nadu,Dharapuram(SC),KARUNAKARAN.P,M,55,SC,BJP,3350,3,3353,205145,162248,3,0,OTHERS,
